orgname,orgid
Facebook Inc,D000033563
Amazon.com,D000023883
Apple Finance Co,D000060128
Apple Inc,D000021754
Apple Oaks Partners,D000060129
Apple Physical Therapy,D000060130
Apple Realty,D000031583
Apple REIT Companies,D000031584
Apple Vacations,D000047189
Dr Pepper Snapple Group,D000042050
Golden Apple Foundation,D000051386
Red Apple Group,D000036995
US Apple Assn,D000029599
Netflix Inc,D000036161
Google Inc,D000022008
Google.org,D000045455
Bar Assn of San Francisco,D000043584
Cisco Systems,D000000374
"City & County of San Francisco, CA",D000032604
City College of San Francisco,D000070129
Francisco Partners,D000033788
San Francisco 49ers,D000070706
San Francisco Art Institute,D000070407
San Francisco Day School,D000070421
San Francisco Foundation,D000045159
San Francisco Giants,D000037349
San Francisco International Airport,D000056394
San Francisco Police Officers Assn,D000045160
San Francisco State University,D000037350
San Francisco Unified School District,D000037351
University of San Francisco,D000030689
Ymca of San Francisco,D000041501
AC Dellovade Inc,D000059935
Andell Holdings,D000031539
Bonadelle Homes,D000060399
Caddell Dry Dock & Repair,D000060503
Codell Construction,D000044758
Dell EMC,D000000558
Dell Technologies,D000000585
DellaCamera Capital Management,D000033113
Foley & Judell,D000044066
Isdell Foundation,D000034753
Jeffrey Modell Foundation,D000052538
LyondellBasell Industries,D000066631
"Mandell, Schwartz & Boisclair",D000053356
Mh Podell Co,D000053720
Modell's Sporting Goods,D000042717
"Moskowitz, Mandell et al",D000036024
Odell International,D000054926
Riddell Sports,D000065045
Sandell Asset Management,D000044521
Udell Assoc,D000063813
Waddell & Reed,D000029727
eBay Inc,D000021970
Hewlett Bay Assoc,D000051783
Hewlett Packard Enterprise,D000067800
Hewlett-Packard,D000000716
William & Flora Hewlett Foundation,D000031062
IBM Business Consulting Services,D000052008
IBM Corp,D000000720
American Intellectual Property Law Assn,D000023974
Applied Systems Intelligence,D000066659
Cardinal Intellectual Property,D000048297
Catch Intelligence,D000067248
Conversant Intellectual Property Management,D000067258
Intel Corp,D000000804
Intellectual Property Owners Assn,D000026633
Intellectual Ventures LLC,D000022044
Intellicheck,D000052240
Intelligent Communication Systems,D000066907
Intelligent Energy,D000052241
Intelligent Optical Systems,D000034705
Intelsat Holdings,D000026635
Remedy Intelligent Staffing,D000070393
LinkedIn Corp,D000067159
Microsoft Corp,D000000115
Oracle Corp,D000000422
Salesforce.Com,D000037335
Tesla Motors,D000057516
Twitter,D000067113
Qualcomm Inc,D000000794
Yahoo! Inc,D000022330
