Recipient,Office,Contributions(Total),Cycle
"D'Amato, Alfonse M (R-NY)",Senate,"$2,000",1998
"Golding, Susan (R-CA)",Senate,"$2,000",1998
"Fong, Matt (R-CA)",Senate,"$1,800",1998
"Pelosi, Nancy (D-CA)",House,"$1,000",1998
"Campbell, Tom (R-CA)",House,$250,1998
"Eshoo, Anna (D-CA)",House,$250,1998
"Clinton, Hillary (D-NY)",Senate,"$5,900",2000
"Eshoo, Anna (D-CA)",House,"$4,000",2000
"Bayh, Evan (D-IN)",Senate,"$2,000",2000
"Kennedy, Edward M (D-MA)",Senate,"$2,000",2000
"Bradley, Bill (D)",Pres,"$1,550",2000
"Gore, Al (D)",Pres,"$1,250",2000
"Bush, George W (R)",Pres,"$1,000",2000
"Cunneen, James F (R-CA)",House,"$1,000",2000
"Haynes, Raymond Neal Jr (R-CA)",Senate,"$1,000",2000
"Nader, Ralph (3)",Pres,$500,2000
"Rogan, James E (R-CA)",House,$500,2000
"Giuliani, Rudolph W (R-NY)",Senate,$250,2000
"Hagelin, John S (3)",Pres,$250,2000
"Honda, Mike (D-CA)",House,$250,2000
"Lazio, Rick A (R-NY)",House,$250,2000
"McCain, John (R-AZ)",Senate,$250,2000
"Christensen, Brent Martin (D-IL)",House,$200,2000
"Boxer, Barbara (D-Calif)",Senate,"$2,400",2002
"Carnahan, Jean (D-Mo)",Senate,"$2,000",2002
"Pryor, Mark (D-Ark)",Senate,"$2,000",2002
"Shaheen, Jeanne (D-NH)",Senate,"$2,000",2002
"Wellstone, Paul (D-Minn)",Senate,"$2,000",2002
"Wu, David (D-Ore)",House,"$2,000",2002
"Cleland, Max (D-Ga)",Senate,"$1,000",2002
"Emanuel, Rahm (D-Ill)",House,"$1,000",2002
"Kirk, Ron (D-Texas)",Senate,"$1,000",2002
"Maloney, Jim (D-Conn)",House,"$1,000",2002
"Pingree, Chellie (D-Maine)",Senate,"$1,000",2002
"Robinson, Carroll G (D-Texas)",House,"$1,000",2002
"Dooley, Cal (D-Calif)",House,$250,2002
"Tauscher, Ellen (D-Calif)",House,$250,2002
"Ford, Harold E Jr (D-Tenn)",House,$200,2002
"Kerry, John (D-MA)",Senate,"$43,464",2004
"Dean, Howard (D)",Pres,"$8,099",2004
"Bush, George W (R)",Pres,"$8,000",2004
"Castor, Betty (D-FL)",Senate,"$6,249",2004
"Clark, Wesley (D)",Pres,"$4,450",2004
"Clinton, Hillary (D-NY)",Senate,"$3,999",2004
"Hoeffel, Joseph M (D-PA)",House,"$3,750",2004
"Bean, Melissa (D-IL)",House,"$2,000",2004
"Emanuel, Rahm (D-IL)",House,"$2,000",2004
"Farrell, Diane Goss (D-CT)",House,"$2,000",2004
"Obama, Barack (D-IL)",Senate,"$2,000",2004
"Schwartz, Allyson (D-PA)",House,"$2,000",2004
"Tenenbaum, Inez (D-SC)",Senate,"$2,000",2004
"Alben, Alex (D-WA)",House,"$1,800",2004
"Eshoo, Anna (D-CA)",House,"$1,500",2004
"Morrison, Richard (D-TX)",House,"$1,000",2004
"Boxer, Barbara (D-CA)",Senate,$975,2004
"Lieberman, Joe (D-CT)",Senate,$750,2004
"Reynolds, Tom (R-NY)",House,$700,2004
"Murray, Patty (D-WA)",Senate,$550,2004
"Putnam, Adam H (R-FL)",House,$500,2004
"Boucher, Rick (D-VA)",House,$250,2004
"Casey, Toni C (R-CA)",Senate,$250,2004
"Daschle, Tom (D-SD)",Senate,$250,2004
"Feingold, Russ (D-WI)",Senate,$250,2004
"Isakson, Johnny (R-GA)",House,$250,2004
"Mongiardo, Daniel (D-KY)",Senate,$250,2004
"McNerney, Jerry (D-CA)",House,"$5,450",2006
"Ensign, John (R-NV)",Senate,"$4,500",2006
"Feinstein, Dianne (D-CA)",Senate,"$4,200",2006
"Cantwell, Maria (D-WA)",Senate,"$3,450",2006
"McCaskill, Claire (D-MO)",Senate,"$3,050",2006
"Duckworth, Tammy (D-IL)",House,"$2,899",2006
"Wu, David (D-OR)",House,"$2,300",2006
"Pederson, Jim (D-AZ)",Senate,"$2,100",2006
"Webb, Jim (D-VA)",Senate,"$1,900",2006
"Sklar, Shane (D-TX)",House,"$1,750",2006
"Byrd, Robert C (D-WV)",Senate,"$1,500",2006
"Schwartz, Allyson (D-PA)",House,"$1,500",2006
"Tester, Jon (D-MT)",Senate,"$1,250",2006
"Brown, Charles D (D-CA)",House,"$1,138",2006
"Bowman, Bob (D-FL)",House,"$1,000",2006
"Clinton, Hillary (D-NY)",Senate,"$1,000",2006
"Menendez, Robert (D-NJ)",Senate,"$1,000",2006
"Stabenow, Debbie (D-MI)",Senate,"$1,000",2006
"Derby, Jill T (D-NV)",House,$888,2006
"Kilroy, Mary Jo (D-OH)",House,$888,2006
"Murphy, Lois (D-PA)",House,$888,2006
"Reynolds, Tom (R-NY)",House,$800,2006
"Burner, Darcy (D-WA)",House,$550,2006
"Akaka, Daniel K (D-HI)",Senate,$500,2006
"Filson, Steve N (D-CA)",House,$500,2006
"Hackett, Paul (D-OH)",Senate,$500,2006
"Hayhurst, Tom (D-IN)",House,$500,2006
"Lamont, Ned (D-CT)",Senate,$500,2006
"Walz, Tim (D-MN)",House,$470,2006
