Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Akerman LLP,ARIAU AMAZON TOWERS HOTEL,FOURTH QUARTER TERMINATION,,04/07/2009,2008
Akerman LLP,ARIAU AMAZON TOWERS HOTEL,REGISTRATION,,10/16/2008,2008
AKIN GUMP STRAUSS HAUER & FELD,"Amazon Corporate, LLC",FOURTH QUARTER REPORT,50000.00,01/18/2019,2018
AKIN GUMP STRAUSS HAUER & FELD,"Amazon Corporate, LLC",FIRST QUARTER REPORT,60000.00,04/22/2019,2019
AKIN GUMP STRAUSS HAUER & FELD,"Amazon Corporate, LLC",REGISTRATION,,06/07/2018,2018
AKIN GUMP STRAUSS HAUER & FELD,"Amazon Corporate, LLC",SECOND QUARTER REPORT,30000.00,07/20/2018,2018
AKIN GUMP STRAUSS HAUER & FELD,"Amazon Corporate, LLC",THIRD QUARTER REPORT,50000.00,10/22/2018,2018
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,FOURTH QUARTER REPORT,80000.00,01/17/2015,2014
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,FOURTH QUARTER REPORT,80000.00,01/20/2016,2015
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,FOURTH QUARTER REPORT,50000.00,01/23/2017,2016
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,FIRST QUARTER REPORT,80000.00,04/18/2015,2015
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,FIRST QUARTER REPORT,80000.00,04/19/2016,2016
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,FIRST QUARTER REPORT,50000.00,04/19/2017,2017
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,REGISTRATION,,06/13/2014,2014
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,SECOND QUARTER REPORT,80000.00,07/18/2015,2015
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,SECOND QUARTER REPORT,40000.00,07/19/2014,2014
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,SECOND QUARTER REPORT,80000.00,07/19/2016,2016
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,SECOND QUARTER TERMINATION,30000.00,07/20/2017,2017
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,THIRD QUARTER REPORT,80000.00,10/18/2014,2014
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,THIRD QUARTER REPORT,80000.00,10/20/2015,2015
AKIN GUMP STRAUSS HAUER & FELD,Amazon Prime Air,THIRD QUARTER REPORT,50000.00,10/20/2016,2016
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,FOURTH QUARTER REPORT,80000.00,01/17/2015,2014
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,FOURTH QUARTER REPORT,80000.00,01/18/2018,2017
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,FOURTH QUARTER REPORT,80000.00,01/20/2016,2015
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,FOURTH QUARTER AMENDMENT,80000.00,01/22/2018,2017
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,FOURTH QUARTER REPORT,80000.00,01/23/2017,2016
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,FIRST QUARTER TERMINATION,80000.00,04/17/2018,2018
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,FIRST QUARTER REPORT,80000.00,04/18/2015,2015
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,FIRST QUARTER REPORT,80000.00,04/19/2016,2016
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,FIRST QUARTER REPORT,80000.00,04/19/2017,2017
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,REGISTRATION,,06/13/2014,2014
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,SECOND QUARTER REPORT,80000.00,07/18/2015,2015
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,SECOND QUARTER REPORT,40000.00,07/19/2014,2014
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,SECOND QUARTER REPORT,80000.00,07/19/2016,2016
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,SECOND QUARTER REPORT,80000.00,07/19/2017,2017
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,SECOND QUARTER AMENDMENT,80000.00,07/29/2017,2017
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,THIRD QUARTER REPORT,80000.00,10/12/2017,2017
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,THIRD QUARTER REPORT,80000.00,10/18/2014,2014
AKIN GUMP STRAUSS HAUER & FELD,Amazon.com,THIRD QUARTER REPORT,80000.00,10/20/2015,2015
