Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
APPLE INC.,APPLE INC,FOURTH QUARTER REPORT,390000.00,01/20/2010,2009
APPLE INC.,APPLE INC,FOURTH QUARTER REPORT,380000.00,01/20/2011,2010
APPLE INC.,APPLE INC,FOURTH QUARTER REPORT,450000.00,01/20/2012,2011
APPLE INC.,APPLE INC,FOURTH QUARTER REPORT,1190000.00,01/20/2015,2014
APPLE INC.,APPLE INC,FOURTH QUARTER REPORT,1030000.00,01/20/2016,2015
APPLE INC.,APPLE INC,FOURTH QUARTER REPORT,1350000.00,01/20/2017,2016
APPLE INC.,APPLE INC,FOURTH QUARTER REPORT,460000.00,01/21/2009,2008
APPLE INC.,APPLE INC,FOURTH QUARTER REPORT,990000.00,01/21/2014,2013
APPLE INC.,APPLE INC,FOURTH QUARTER REPORT,540000.00,01/22/2013,2012
APPLE INC.,APPLE INC,FOURTH QUARTER REPORT,1610000.00,01/22/2018,2017
APPLE INC.,APPLE INC,FOURTH QUARTER REPORT,1530000.00,01/22/2019,2018
APPLE INC.,APPLE INC,SECOND QUARTER AMENDMENT,1680000.00,02/05/2019,2018
APPLE INC.,APPLE INC,FOURTH QUARTER AMENDMENT,1660000.00,02/10/2018,2017
APPLE INC.,APPLE INC,SECOND QUARTER AMENDMENT,2230000.00,02/10/2018,2017
APPLE INC.,APPLE INC,YEAR-END REPORT,420000.00,02/13/2006,2005
APPLE INC.,APPLE INC,YEAR-END REPORT,600000.00,02/13/2007,2006
APPLE INC.,APPLE INC,YEAR-END REPORT,180000.00,02/14/2001,2000
APPLE INC.,APPLE INC,REGISTRATION AMENDMENT,,02/14/2007,2005
APPLE INC.,APPLE INC,YEAR-END REPORT,600000.00,02/14/2007,2006
APPLE INC.,APPLE INC,YEAR-END REPORT,580000.00,02/14/2008,2007
APPLE INC.,APPLE INC,YEAR-END REPORT,100000.00,02/15/2000,1999
APPLE INC.,APPLE INC,YEAR-END REPORT,240000.00,02/20/2003,2002
APPLE INC.,APPLE INC,REGISTRATION AMENDMENT,,02/20/2007,2007
APPLE INC.,APPLE INC,YEAR-END REPORT,300000.00,02/23/2005,2004
APPLE INC.,APPLE INC,REGISTRATION AMENDMENT,,02/23/2006,2006
APPLE INC.,APPLE INC,YEAR-END REPORT,222681.00,03/03/2004,2003
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,340000.00,04/20/2009,2009
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,560000.00,04/20/2010,2010
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,560000.00,04/20/2011,2011
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,500000.00,04/20/2012,2012
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,1240000.00,04/20/2015,2015
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,1130000.00,04/20/2016,2016
APPLE INC.,APPLE INC,FOURTH QUARTER AMENDMENT,1070000.00,04/20/2016,2015
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,1400000.00,04/20/2017,2017
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,2140000.00,04/20/2018,2018
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,390000.00,04/21/2008,2008
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,1070000.00,04/21/2014,2014
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,720000.00,04/22/2013,2013
APPLE INC.,APPLE INC,FIRST QUARTER REPORT,1930000.00,04/22/2019,2019
APPLE INC.,APPLE INC,YEAR-END REPORT,260000.00,05/16/2002,2001
APPLE INC.,APPLE INC,FIRST QUARTER AMENDMENT,390000.00,07/15/2008,2008
APPLE INC.,APPLE INC,SECOND QUARTER REPORT,390000.00,07/20/2009,2009
APPLE INC.,APPLE INC,SECOND QUARTER REPORT,330000.00,07/20/2010,2010
APPLE INC.,APPLE INC,SECOND QUARTER REPORT,790000.00,07/20/2011,2011
APPLE INC.,APPLE INC,SECOND QUARTER REPORT,470000.00,07/20/2012,2012
APPLE INC.,APPLE INC,SECOND QUARTER REPORT,1230000.00,07/20/2015,2015
APPLE INC.,APPLE INC,SECOND QUARTER REPORT,1120000.00,07/20/2016,2016
APPLE INC.,APPLE INC,SECOND QUARTER REPORT,2200000.00,07/20/2017,2017
APPLE INC.,APPLE INC,SECOND QUARTER REPORT,1620000.00,07/20/2018,2018
APPLE INC.,APPLE INC,YEAR-END AMENDMENT,233008.00,07/21/2004,2003
APPLE INC.,APPLE INC,SECOND QUARTER REPORT,450000.00,07/21/2008,2008
APPLE INC.,APPLE INC,SECOND QUARTER REPORT,840000.00,07/21/2014,2014
APPLE INC.,APPLE INC,SECOND QUARTER REPORT,690000.00,07/22/2013,2013
APPLE INC.,APPLE INC,MID-YEAR REPORT,500000.00,08/08/2006,2006
APPLE INC.,APPLE INC,MID-YEAR REPORT,180000.00,08/14/2000,2000
APPLE INC.,APPLE INC,MID-YEAR REPORT,720000.00,08/14/2007,2007
APPLE INC.,APPLE INC,REGISTRATION AMENDMENT,,08/14/2007,2005
APPLE INC.,APPLE INC,MID-YEAR REPORT,240000.00,08/15/2001,2001
APPLE INC.,APPLE INC,REGISTRATION AMENDMENT,,08/15/2001,2001
APPLE INC.,APPLE INC,MID-YEAR REPORT,80000.00,08/16/1999,1999
APPLE INC.,APPLE INC,REGISTRATION AMENDMENT,,08/16/1999,1999
APPLE INC.,APPLE INC,MID-YEAR REPORT,340000.00,08/17/2005,2005
APPLE INC.,APPLE INC,MID-YEAR REPORT,360000.00,08/19/2004,2004
APPLE INC.,APPLE INC,REGISTRATION AMENDMENT,,08/20/2007,2007
APPLE INC.,APPLE INC,MID-YEAR REPORT,280000.00,08/22/2002,2002
APPLE INC.,APPLE INC,MID-YEAR REPORT,280000.00,08/25/2003,2003
APPLE INC.,APPLE INC,MID-YEAR AMENDMENT,720000.00,09/13/2007,2007
APPLE INC.,APPLE INC,THIRD QUARTER REPORT,410000.00,10/20/2008,2008
APPLE INC.,APPLE INC,THIRD QUARTER REPORT,380000.00,10/20/2009,2009
APPLE INC.,APPLE INC,THIRD QUARTER REPORT,340000.00,10/20/2010,2010
APPLE INC.,APPLE INC,THIRD QUARTER REPORT,460000.00,10/20/2011,2011
APPLE INC.,APPLE INC,THIRD QUARTER REPORT,1010000.00,10/20/2014,2014
APPLE INC.,APPLE INC,THIRD QUARTER REPORT,980000.00,10/20/2015,2015
APPLE INC.,APPLE INC,THIRD QUARTER REPORT,1070000.00,10/20/2016,2016
APPLE INC.,APPLE INC,THIRD QUARTER REPORT,1860000.00,10/20/2017,2017
APPLE INC.,APPLE INC,THIRD QUARTER REPORT,970000.00,10/21/2013,2013
APPLE INC.,APPLE INC,THIRD QUARTER REPORT,460000.00,10/22/2012,2012
APPLE INC.,APPLE INC,THIRD QUARTER REPORT,1330000.00,10/22/2018,2018
Bernstein Strategy Group,"Apple, Inc.",FOURTH QUARTER REPORT,10000.00,01/12/2016,2015
Bernstein Strategy Group,"Apple, Inc.",FOURTH QUARTER REPORT,10000.00,01/16/2013,2012
Bernstein Strategy Group,"Apple, Inc.",FOURTH QUARTER REPORT,20000.00,01/16/2015,2014
Bernstein Strategy Group,"Apple, Inc.",FOURTH QUARTER REPORT,10000.00,01/17/2014,2013
Bernstein Strategy Group,"Apple, Inc.",FIRST QUARTER REPORT,20000.00,04/08/2016,2016
Bernstein Strategy Group,"Apple, Inc.",FIRST QUARTER REPORT,10000.00,04/09/2014,2014
Bernstein Strategy Group,"Apple, Inc.",FIRST QUARTER REPORT,20000.00,04/14/2015,2015
Bernstein Strategy Group,"Apple, Inc.",FIRST QUARTER REPORT,10000.00,04/16/2013,2013
Bernstein Strategy Group,"Apple, Inc.",REGISTRATION,,04/20/2012,2012
Bernstein Strategy Group,"Apple, Inc.",SECOND QUARTER TERMINATION,10000.00,07/05/2016,2016
Bernstein Strategy Group,"Apple, Inc.",SECOND QUARTER REPORT,20000.00,07/08/2015,2015
Bernstein Strategy Group,"Apple, Inc.",SECOND QUARTER REPORT,10000.00,07/11/2013,2013
Bernstein Strategy Group,"Apple, Inc.",SECOND QUARTER REPORT,10000.00,07/14/2014,2014
Bernstein Strategy Group,"Apple, Inc.",SECOND QUARTER REPORT,10000.00,07/18/2012,2012
Bernstein Strategy Group,"Apple, Inc.",THIRD QUARTER REPORT,20000.00,10/05/2015,2015
Bernstein Strategy Group,"Apple, Inc.",THIRD QUARTER REPORT,10000.00,10/11/2012,2012
Bernstein Strategy Group,"Apple, Inc.",THIRD QUARTER REPORT,10000.00,10/16/2014,2014
Bernstein Strategy Group,"Apple, Inc.",THIRD QUARTER REPORT,10000.00,10/17/2013,2013
BGR Government Affairs,Apple Bank for Savings,FOURTH QUARTER REPORT,60000.00,01/20/2016,2015
BGR Government Affairs,Apple Bank for Savings,THIRD QUARTER REPORT,20000.00,01/28/2016,2015
BGR Government Affairs,Apple Bank for Savings,FIRST QUARTER (NO ACTIVITY),20000.00,04/20/2016,2016
BGR Government Affairs,Apple Bank for Savings,SECOND QUARTER (NO ACTIVITY),,07/20/2016,2016
BGR Government Affairs,Apple Bank for Savings,REGISTRATION,,10/20/2015,2015
BGR Government Affairs,Apple Bank for Savings,THIRD QUARTER TERMINATION (NO ACTIVITY),,10/20/2016,2016
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APPLE COMPUTERS INC,YEAR-END REPORT,,02/13/2007,2006
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APPLE COMPUTERS INC,REGISTRATION,,05/19/2006,2006
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APPLE COMPUTERS INC,MID-YEAR REPORT,,08/10/2006,2006
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APPLE COMPUTERS INC,MID-YEAR TERMINATION,,08/10/2007,2007
BUCHANAN INGERSOLL & ROONEY PC,APPLETON PAPERS INC,REGISTRATION,,07/06/2006,2006
BUCHANAN INGERSOLL & ROONEY PC,APPLETON PAPERS INC,MID-YEAR TERMINATION,,08/14/2006,2006
"Capitol Tax Partners, LLP",Apple,YEAR-END REPORT,120000.00,01/06/2006,2005
"Capitol Tax Partners, LLP",Apple,FOURTH QUARTER REPORT,60000.00,01/16/2009,2008
"Capitol Tax Partners, LLP",Apple,FOURTH QUARTER REPORT,90000.00,01/18/2019,2018
"Capitol Tax Partners, LLP",Apple,FOURTH QUARTER REPORT,80000.00,01/19/2012,2011
"Capitol Tax Partners, LLP",Apple,FOURTH QUARTER REPORT,90000.00,01/19/2017,2016
"Capitol Tax Partners, LLP",Apple,FOURTH QUARTER REPORT,60000.00,01/20/2010,2009
"Capitol Tax Partners, LLP",Apple,FOURTH QUARTER REPORT,80000.00,01/20/2011,2010
"Capitol Tax Partners, LLP",Apple,FOURTH QUARTER REPORT,80000.00,01/20/2015,2014
"Capitol Tax Partners, LLP",Apple,FOURTH QUARTER REPORT,80000.00,01/20/2016,2015
"Capitol Tax Partners, LLP",Apple,FOURTH QUARTER REPORT,80000.00,01/21/2014,2013
"Capitol Tax Partners, LLP",Apple,FOURTH QUARTER REPORT,80000.00,01/22/2013,2012
"Capitol Tax Partners, LLP",Apple,FOURTH QUARTER REPORT,90000.00,01/22/2018,2017
"Capitol Tax Partners, LLP",Apple,YEAR-END AMENDMENT,100000.00,02/02/2005,2003
"Capitol Tax Partners, LLP",Apple,YEAR-END REPORT,120000.00,02/13/2008,2007
"Capitol Tax Partners, LLP",Apple,YEAR-END REPORT,80000.00,02/24/2003,2002
"Capitol Tax Partners, LLP",Apple,YEAR-END REPORT,120000.00,02/26/2007,2006
"Capitol Tax Partners, LLP",Apple,YEAR-END REPORT,80000.00,03/05/2002,2001
"Capitol Tax Partners, LLP",Apple,YEAR-END REPORT,120000.00,03/10/2005,2004
"Capitol Tax Partners, LLP",Apple,FIRST QUARTER REPORT,60000.00,04/18/2008,2008
"Capitol Tax Partners, LLP",Apple,YEAR-END REPORT,100000.00,04/19/2004,2003
"Capitol Tax Partners, LLP",Apple,FIRST QUARTER REPORT,80000.00,04/19/2012,2012
"Capitol Tax Partners, LLP",Apple,FIRST QUARTER REPORT,80000.00,04/19/2016,2016
"Capitol Tax Partners, LLP",Apple,FIRST QUARTER REPORT,90000.00,04/19/2018,2018
"Capitol Tax Partners, LLP",Apple,FIRST QUARTER REPORT,60000.00,04/20/2009,2009
"Capitol Tax Partners, LLP",Apple,FIRST QUARTER REPORT,80000.00,04/20/2010,2010
"Capitol Tax Partners, LLP",Apple,FIRST QUARTER REPORT,80000.00,04/20/2011,2011
"Capitol Tax Partners, LLP",Apple,FIRST QUARTER REPORT,80000.00,04/20/2015,2015
"Capitol Tax Partners, LLP",Apple,FIRST QUARTER REPORT,90000.00,04/20/2017,2017
