Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
"ALPINE GROUP, INC.","Cisco Systems, Inc.",FOURTH QUARTER TERMINATION,,01/08/2015,2014
"ALPINE GROUP, INC.","Cisco Systems, Inc.",FOURTH QUARTER REPORT,50000.00,01/15/2013,2012
"ALPINE GROUP, INC.","Cisco Systems, Inc.",FOURTH QUARTER REPORT,60000.00,01/17/2014,2013
"ALPINE GROUP, INC.","Cisco Systems, Inc.",FOURTH QUARTER REPORT,20000.00,01/18/2012,2011
"ALPINE GROUP, INC.","Cisco Systems, Inc.",FIRST QUARTER REPORT,50000.00,04/15/2013,2013
"ALPINE GROUP, INC.","Cisco Systems, Inc.",FIRST QUARTER REPORT,60000.00,04/17/2014,2014
"ALPINE GROUP, INC.","Cisco Systems, Inc.",FIRST QUARTER REPORT,50000.00,04/18/2012,2012
"ALPINE GROUP, INC.","Cisco Systems, Inc.",SECOND QUARTER REPORT,60000.00,07/14/2014,2014
"ALPINE GROUP, INC.","Cisco Systems, Inc.",SECOND QUARTER REPORT,50000.00,07/19/2012,2012
"ALPINE GROUP, INC.","Cisco Systems, Inc.",SECOND QUARTER REPORT,60000.00,07/19/2013,2013
"ALPINE GROUP, INC.","Cisco Systems, Inc.",REGISTRATION,,10/12/2011,2011
"ALPINE GROUP, INC.","Cisco Systems, Inc.",THIRD QUARTER REPORT,50000.00,10/19/2012,2012
"ALPINE GROUP, INC.","Cisco Systems, Inc.",THIRD QUARTER REPORT,60000.00,10/20/2014,2014
"ALPINE GROUP, INC.","Cisco Systems, Inc.",THIRD QUARTER REPORT,60000.00,10/21/2013,2013
American Continental Group,CISCO SYSTEMS INC,REGISTRATION,,03/15/2000,2000
American Continental Group,CISCO SYSTEMS INC,MID-YEAR TERMINATION,20000.00,08/08/2000,2000
"CAPITOL COALITIONS, INC",CISCO SYSTEMS INC,YEAR-END REPORT,20000.00,02/07/2001,2000
"CAPITOL COALITIONS, INC",CISCO SYSTEMS INC,REGISTRATION,,07/18/2000,2000
"CAPITOL COALITIONS, INC",CISCO SYSTEMS INC,MID-YEAR TERMINATION (NO ACTIVITY),,08/02/2001,2001
Capitol Counsel LLC,Cisco Systems,FOURTH QUARTER REPORT,30000.00,01/18/2012,2011
Capitol Counsel LLC,Cisco Systems,FOURTH QUARTER REPORT,30000.00,01/20/2011,2010
