Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Access Partnership LLC,Dell Inc.,FOURTH QUARTER REPORT,,01/20/2012,2011
Access Partnership LLC,Dell Inc.,FOURTH QUARTER REPORT,,01/22/2013,2012
Access Partnership LLC,Dell Inc.,FOURTH QUARTER REPORT,,01/22/2014,2013
Access Partnership LLC,Dell Inc.,FIRST QUARTER REPORT,,04/20/2012,2012
Access Partnership LLC,Dell Inc.,FIRST QUARTER TERMINATION,,04/21/2014,2014
Access Partnership LLC,Dell Inc.,FIRST QUARTER REPORT,,04/22/2013,2013
Access Partnership LLC,Dell Inc.,SECOND QUARTER REPORT,,07/20/2012,2012
Access Partnership LLC,Dell Inc.,SECOND QUARTER REPORT,,07/22/2013,2013
Access Partnership LLC,Dell Inc.,REGISTRATION,,10/14/2011,2011
Access Partnership LLC,Dell Inc.,THIRD QUARTER REPORT,,10/20/2012,2012
Access Partnership LLC,Dell Inc.,THIRD QUARTER REPORT,,10/21/2013,2013
"ALPINE GROUP, INC.",Dell Inc.,FOURTH QUARTER REPORT,20000.00,01/15/2013,2012
"ALPINE GROUP, INC.",Dell Inc.,FOURTH QUARTER REPORT,50000.00,01/16/2009,2008
"ALPINE GROUP, INC.",Dell Inc.,FOURTH QUARTER REPORT,20000.00,01/18/2012,2011
"ALPINE GROUP, INC.",Dell Inc.,YEAR-END REPORT,40000.00,02/07/2006,2005
"ALPINE GROUP, INC.",Dell Inc.,YEAR-END REPORT,100000.00,02/12/2008,2007
"ALPINE GROUP, INC.",Dell Inc.,YEAR-END REPORT,100000.00,02/13/2007,2006
"ALPINE GROUP, INC.",Dell Inc.,REGISTRATION,,04/06/2011,2011
"ALPINE GROUP, INC.",Dell Inc.,REGISTRATION AMENDMENT,,04/06/2011,2011
"ALPINE GROUP, INC.",Dell Inc.,FIRST QUARTER REPORT,20000.00,04/17/2013,2013
"ALPINE GROUP, INC.",Dell Inc.,FIRST QUARTER REPORT,20000.00,04/18/2012,2012
"ALPINE GROUP, INC.",Dell Inc.,FIRST QUARTER (NO ACTIVITY),20000.00,04/19/2011,2011
"ALPINE GROUP, INC.",Dell Inc.,FIRST QUARTER TERMINATION,30000.00,04/20/2009,2009
"ALPINE GROUP, INC.",Dell Inc.,FIRST QUARTER REPORT,50000.00,04/21/2008,2008
"ALPINE GROUP, INC.",Dell Inc.,SECOND QUARTER TERMINATION,10000.00,05/31/2013,2013
"ALPINE GROUP, INC.",Dell Inc.,SECOND QUARTER REPORT,60000.00,07/15/2008,2008
"ALPINE GROUP, INC.",Dell Inc.,SECOND QUARTER REPORT,20000.00,07/18/2011,2011
"ALPINE GROUP, INC.",Dell Inc.,SECOND QUARTER REPORT,20000.00,07/19/2012,2012
"ALPINE GROUP, INC.",Dell Inc.,MID-YEAR REPORT,100000.00,08/09/2006,2006
"ALPINE GROUP, INC.",Dell Inc.,MID-YEAR REPORT,40000.00,08/10/2007,2007
"ALPINE GROUP, INC.",Dell Inc.,THIRD QUARTER REPORT,20000.00,10/18/2011,2011
"ALPINE GROUP, INC.",Dell Inc.,THIRD QUARTER REPORT,20000.00,10/18/2012,2012
"ALPINE GROUP, INC.",Dell Inc.,THIRD QUARTER REPORT,50000.00,10/20/2008,2008
"ALPINE GROUP, INC.",Dell Inc.,REGISTRATION,,11/22/2005,2005
BERGNER BOCKORNY CASTAGNETTI HAWKINS & BRAIN,DELL COMPUTER CORP,MID-YEAR TERMINATION AMENDMENT (NO ACTIVITY),,01/21/2005,2001
BERGNER BOCKORNY CASTAGNETTI HAWKINS & BRAIN,DELL COMPUTER CORP,YEAR-END REPORT,40000.00,02/14/2001,2000
BERGNER BOCKORNY CASTAGNETTI HAWKINS & BRAIN,DELL COMPUTER CORP,YEAR-END REPORT,80000.00,02/15/2000,1999
BERGNER BOCKORNY CASTAGNETTI HAWKINS & BRAIN,DELL COMPUTER CORP,REGISTRATION,,04/27/1999,1999
BERGNER BOCKORNY CASTAGNETTI HAWKINS & BRAIN,DELL COMPUTER CORP,MID-YEAR REPORT,80000.00,08/14/2000,2000
BERGNER BOCKORNY CASTAGNETTI HAWKINS & BRAIN,DELL COMPUTER CORP,MID-YEAR REPORT,60000.00,08/16/1999,1999
BERGNER BOCKORNY CASTAGNETTI HAWKINS & BRAIN,DELL COMPUTER CORP,MID-YEAR REPORT,80000.00,08/16/2001,2001
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FOURTH QUARTER REPORT,920000.00,01/16/2019,2018
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FOURTH QUARTER REPORT,760000.00,01/20/2010,2009
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FOURTH QUARTER REPORT,650000.00,01/20/2011,2010
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FOURTH QUARTER REPORT,620000.00,01/20/2012,2011
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FOURTH QUARTER REPORT,650000.00,01/20/2015,2014
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FOURTH QUARTER REPORT,580359.00,01/20/2016,2015
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FOURTH QUARTER REPORT,740000.00,01/21/2009,2008
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FOURTH QUARTER REPORT,600000.00,01/21/2014,2013
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FOURTH QUARTER REPORT,590000.00,01/22/2013,2012
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FOURTH QUARTER REPORT,780000.00,01/22/2018,2017
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FOURTH QUARTER REPORT,640000.00,01/23/2017,2016
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER AMENDMENT,710000.00,02/04/2015,2014
Dell Technologies Inc.,DELL TECHNOLOGIES INC,YEAR-END REPORT,800000.00,02/12/2008,2007
Dell Technologies Inc.,DELL TECHNOLOGIES INC,YEAR-END REPORT,780000.00,02/13/2007,2006
Dell Technologies Inc.,DELL TECHNOLOGIES INC,YEAR-END REPORT,700000.00,02/14/2005,2004
Dell Technologies Inc.,DELL TECHNOLOGIES INC,YEAR-END REPORT,220000.00,02/15/2000,1999
Dell Technologies Inc.,DELL TECHNOLOGIES INC,YEAR-END REPORT,200000.00,02/15/2001,2000
Dell Technologies Inc.,DELL TECHNOLOGIES INC,YEAR-END REPORT,780000.00,02/15/2006,2005
Dell Technologies Inc.,DELL TECHNOLOGIES INC,YEAR-END REPORT,588000.00,02/17/2004,2003
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER AMENDMENT,460000.00,02/19/2009,2008
Dell Technologies Inc.,DELL TECHNOLOGIES INC,YEAR-END REPORT,240000.00,02/24/2003,2002
Dell Technologies Inc.,DELL TECHNOLOGIES INC,YEAR-END REPORT,160000.00,04/02/2002,2001
Dell Technologies Inc.,DELL TECHNOLOGIES INC,MID-YEAR REPORT,280000.00,04/08/2003,2002
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,620000.00,04/19/2012,2012
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,725000.00,04/20/2009,2009
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,760000.00,04/20/2010,2010
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,650000.00,04/20/2011,2011
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,670000.00,04/20/2015,2015
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,550000.00,04/20/2016,2016
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,670000.00,04/20/2017,2017
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,960000.00,04/20/2018,2018
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,460000.00,04/21/2008,2008
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,710000.00,04/21/2014,2014
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER AMENDMENT,460000.00,04/22/2008,2008
Dell Technologies Inc.,DELL TECHNOLOGIES INC,YEAR-END AMENDMENT,800000.00,04/22/2008,2007
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,590000.00,04/22/2013,2013
Dell Technologies Inc.,DELL TECHNOLOGIES INC,FIRST QUARTER REPORT,1300000.00,04/22/2019,2019
Dell Technologies Inc.,DELL TECHNOLOGIES INC,SECOND QUARTER REPORT,730000.00,07/20/2009,2009
Dell Technologies Inc.,DELL TECHNOLOGIES INC,SECOND QUARTER REPORT,690000.00,07/20/2010,2010
Dell Technologies Inc.,DELL TECHNOLOGIES INC,SECOND QUARTER REPORT,650000.00,07/20/2011,2011
Dell Technologies Inc.,DELL TECHNOLOGIES INC,SECOND QUARTER REPORT,590000.00,07/20/2012,2012
Dell Technologies Inc.,DELL TECHNOLOGIES INC,SECOND QUARTER REPORT,670000.00,07/20/2015,2015
