Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Ashcroft Group,EBAY INC,REGISTRATION,,02/09/2006,2006
Ashcroft Group,EBAY INC,MID-YEAR TERMINATION,60000.00,08/14/2006,2006
Ashcroft Group,EBAY INC,MID-YEAR TERMINATION,60000.00,08/14/2006,2006
BLANK ROME GOVERNMENT RELATIONS,eBay Inc.,FOURTH QUARTER TERMINATION,20000.00,01/20/2011,2010
BLANK ROME GOVERNMENT RELATIONS,eBay Inc.,REGISTRATION,,07/20/2010,2010
BLANK ROME GOVERNMENT RELATIONS,eBay Inc.,SECOND QUARTER REPORT,,07/29/2010,2010
BLANK ROME GOVERNMENT RELATIONS,eBay Inc.,THIRD QUARTER REPORT,20000.00,10/19/2010,2010
"C2 GROUP, LLC",EBAY,FOURTH QUARTER REPORT,30000.00,01/19/2010,2009
"C2 GROUP, LLC",EBAY,FOURTH QUARTER REPORT,30000.00,01/19/2012,2011
"C2 GROUP, LLC",EBAY,FOURTH QUARTER REPORT,30000.00,01/20/2011,2010
"C2 GROUP, LLC",EBAY,FOURTH QUARTER REPORT,20000.00,01/21/2009,2008
"C2 GROUP, LLC",EBAY,FOURTH QUARTER REPORT,30000.00,01/22/2013,2012
"C2 GROUP, LLC",EBAY,YEAR-END REPORT,60000.00,02/14/2007,2006
"C2 GROUP, LLC",EBAY,YEAR-END REPORT,40000.00,02/14/2008,2007
"C2 GROUP, LLC",EBAY,REGISTRATION,,03/28/2006,2005
"C2 GROUP, LLC",EBAY,FIRST QUARTER REPORT,30000.00,04/13/2010,2010
"C2 GROUP, LLC",EBAY,FIRST QUARTER TERMINATION,30000.00,04/17/2013,2013
"C2 GROUP, LLC",EBAY,FIRST QUARTER REPORT,30000.00,04/18/2011,2011
"C2 GROUP, LLC",EBAY,FIRST QUARTER REPORT,30000.00,04/19/2012,2012
"C2 GROUP, LLC",EBAY,FIRST QUARTER REPORT,30000.00,04/20/2009,2009
"C2 GROUP, LLC",EBAY,FIRST QUARTER REPORT,20000.00,04/21/2008,2008
"C2 GROUP, LLC",EBAY,MID-YEAR REPORT,45000.00,04/25/2006,2005
"C2 GROUP, LLC",EBAY,YEAR-END REPORT,60000.00,04/25/2006,2005
"C2 GROUP, LLC",EBAY,FIRST QUARTER REPORT,30000.00,07/16/2010,2010
"C2 GROUP, LLC",EBAY,SECOND QUARTER REPORT,20000.00,07/18/2008,2008
"C2 GROUP, LLC",EBAY,SECOND QUARTER REPORT,30000.00,07/19/2011,2011
"C2 GROUP, LLC",EBAY,SECOND QUARTER REPORT,30000.00,07/19/2012,2012
"C2 GROUP, LLC",EBAY,SECOND QUARTER REPORT,30000.00,07/20/2009,2009
"C2 GROUP, LLC",EBAY,MID-YEAR REPORT,60000.00,08/10/2006,2006
"C2 GROUP, LLC",EBAY,MID-YEAR REPORT,60000.00,08/14/2007,2007
"C2 GROUP, LLC",EBAY,SECOND QUARTER REPORT,30000.00,09/16/2010,2010
"C2 GROUP, LLC",EBAY,THIRD QUARTER REPORT,30000.00,10/13/2010,2010
"C2 GROUP, LLC",EBAY,THIRD QUARTER REPORT,30000.00,10/19/2011,2011
"C2 GROUP, LLC",EBAY,THIRD QUARTER REPORT,30000.00,10/19/2012,2012
"C2 GROUP, LLC",EBAY,THIRD QUARTER REPORT,20000.00,10/20/2008,2008
"C2 GROUP, LLC",EBAY,THIRD QUARTER REPORT,30000.00,10/20/2009,2009
Clark & Weinstock,EBAY INC,FOURTH QUARTER REPORT,30000.00,01/09/2009,2008
Clark & Weinstock,EBAY INC,FOURTH QUARTER TERMINATION,30000.00,01/12/2012,2011
Clark & Weinstock,EBAY INC,FOURTH QUARTER REPORT,30000.00,01/18/2011,2010
Clark & Weinstock,EBAY INC,FOURTH QUARTER REPORT,30000.00,01/19/2010,2009
Clark & Weinstock,EBAY INC,YEAR-END REPORT,100000.00,02/06/2008,2007
Clark & Weinstock,EBAY INC,REGISTRATION,,02/10/2003,2003
Clark & Weinstock,EBAY INC,YEAR-END REPORT,60000.00,02/11/2004,2003
Clark & Weinstock,EBAY INC,YEAR-END REPORT,120000.00,02/13/2007,2006
Clark & Weinstock,EBAY INC,YEAR-END REPORT,90000.00,02/14/2005,2004
Clark & Weinstock,EBAY INC,YEAR-END REPORT,120000.00,02/23/2006,2005
Clark & Weinstock,EBAY INC,FIRST QUARTER REPORT,30000.00,04/14/2010,2010
Clark & Weinstock,EBAY INC,FIRST QUARTER REPORT,30000.00,04/20/2009,2009
Clark & Weinstock,EBAY INC,FIRST QUARTER REPORT,30000.00,04/20/2011,2011
Clark & Weinstock,EBAY INC,FIRST QUARTER REPORT,30000.00,04/21/2008,2008
Clark & Weinstock,EBAY INC,SECOND QUARTER REPORT,30000.00,07/15/2008,2008
Clark & Weinstock,EBAY INC,SECOND QUARTER REPORT,30000.00,07/15/2011,2011
Clark & Weinstock,EBAY INC,SECOND QUARTER REPORT,30000.00,07/16/2009,2009
Clark & Weinstock,EBAY INC,SECOND QUARTER REPORT,30000.00,07/19/2010,2010
Clark & Weinstock,EBAY INC,MID-YEAR REPORT,100000.00,08/09/2004,2004
Clark & Weinstock,EBAY INC,MID-YEAR REPORT,60000.00,08/14/2003,2003
Clark & Weinstock,EBAY INC,MID-YEAR REPORT,100000.00,08/15/2005,2005
Clark & Weinstock,EBAY INC,MID-YEAR REPORT,120000.00,08/23/2006,2006
Clark & Weinstock,EBAY INC,MID-YEAR REPORT,120000.00,10/12/2007,2007
Clark & Weinstock,EBAY INC,THIRD QUARTER REPORT,30000.00,10/14/2010,2010
Clark & Weinstock,EBAY INC,THIRD QUARTER REPORT,30000.00,10/15/2008,2008
Clark & Weinstock,EBAY INC,THIRD QUARTER REPORT,30000.00,10/15/2009,2009
Clark & Weinstock,EBAY INC,THIRD QUARTER REPORT,30000.00,10/18/2011,2011
Davidson & Company,EBAY,YEAR-END (NO ACTIVITY),,02/04/2004,2003
Davidson & Company,EBAY,YEAR-END (NO ACTIVITY),,02/07/2005,2004
Davidson & Company,EBAY,YEAR-END REPORT,35000.00,02/12/2001,2000
Davidson & Company,EBAY,YEAR-END REPORT,30000.00,02/12/2002,2001
Davidson & Company,EBAY,YEAR-END REPORT,,02/12/2003,2002
Davidson & Company,EBAY,YEAR-END REPORT,54000.00,02/14/2000,1999
Davidson & Company,EBAY,MID-YEAR REPORT,30000.00,07/11/2001,2001
Davidson & Company,EBAY,MID-YEAR (NO ACTIVITY),,07/30/2003,2003
Davidson & Company,EBAY,MID-YEAR REPORT,12000.00,08/02/2002,2002
Davidson & Company,EBAY,MID-YEAR (NO ACTIVITY),,08/04/2005,2005
Davidson & Company,EBAY,MID-YEAR (NO ACTIVITY),,08/06/2004,2004
Davidson & Company,EBAY,MID-YEAR REPORT,60000.00,08/10/2000,2000
Davidson & Company,EBAY,REGISTRATION,,08/13/1999,1999
Davidson & Company,EBAY,YEAR-END TERMINATION (NO ACTIVITY),,08/21/2006,2005
"Dentons US, LLP",EBAY INC,YEAR-END TERMINATION,60000.00,02/13/2008,2007
"Dentons US, LLP",EBAY INC,REGISTRATION,,02/15/2007,2007
"Dentons US, LLP",EBAY INC,MID-YEAR REPORT,60000.00,08/13/2007,2007
DLA Piper LLP (US),EBAY INC,FOURTH QUARTER (NO ACTIVITY),,01/19/2010,2009
DLA Piper LLP (US),EBAY INC,FOURTH QUARTER (NO ACTIVITY),,01/21/2009,2008
DLA Piper LLP (US),EBAY INC,YEAR-END REPORT,20000.00,02/13/2006,2005
DLA Piper LLP (US),EBAY INC,YEAR-END REPORT,,02/13/2007,2006
