Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Baker & Hostetler LLP,Facebook,FOURTH QUARTER REPORT,50000.00,01/18/2019,2018
Baker & Hostetler LLP,Facebook,FOURTH QUARTER REPORT,50000.00,01/21/2018,2017
Baker & Hostetler LLP,Facebook,REGISTRATION,,02/13/2017,2017
Baker & Hostetler LLP,Facebook,FIRST QUARTER REPORT,50000.00,04/18/2019,2019
Baker & Hostetler LLP,Facebook,FIRST QUARTER REPORT,60000.00,04/19/2017,2017
Baker & Hostetler LLP,Facebook,FIRST QUARTER REPORT,50000.00,04/20/2018,2018
Baker & Hostetler LLP,Facebook,SECOND QUARTER REPORT,60000.00,07/12/2017,2017
Baker & Hostetler LLP,Facebook,SECOND QUARTER AMENDMENT,50000.00,07/18/2017,2017
Baker & Hostetler LLP,Facebook,SECOND QUARTER REPORT,50000.00,07/19/2018,2018
Baker & Hostetler LLP,Facebook,THIRD QUARTER REPORT,50000.00,10/19/2017,2017
Baker & Hostetler LLP,Facebook,THIRD QUARTER REPORT,50000.00,10/22/2018,2018
Blue Mountain Strategies,Facebook,FOURTH QUARTER REPORT,45000.00,01/19/2019,2018
Blue Mountain Strategies,Facebook,FOURTH QUARTER REPORT,45000.00,01/20/2018,2017
Blue Mountain Strategies,Facebook,FIRST QUARTER REPORT,45000.00,04/19/2018,2018
Blue Mountain Strategies,Facebook,FIRST QUARTER REPORT,45000.00,04/20/2019,2019
Blue Mountain Strategies,Facebook,SECOND QUARTER REPORT,45000.00,07/19/2018,2018
Blue Mountain Strategies,Facebook,THIRD QUARTER REPORT,45000.00,10/23/2018,2018
Blue Mountain Strategies,Facebook,REGISTRATION,,11/10/2017,2017
"Capitol Tax Partners, LLP",Facebook,FOURTH QUARTER REPORT,60000.00,01/22/2019,2018
"Capitol Tax Partners, LLP",Facebook,FIRST QUARTER REPORT,60000.00,04/22/2019,2019
"Capitol Tax Partners, LLP",Facebook,REGISTRATION,,10/19/2018,2018
"Capitol Tax Partners, LLP",Facebook,THIRD QUARTER REPORT,20000.00,10/19/2018,2018
David Wade/GreenLight Strategies LLC,Facebook,FOURTH QUARTER REPORT,30000.00,01/14/2019,2018
David Wade/GreenLight Strategies LLC,Facebook,FOURTH QUARTER REPORT,30000.00,01/19/2018,2017
David Wade/GreenLight Strategies LLC,Facebook,FIRST QUARTER REPORT,,04/11/2019,2019
David Wade/GreenLight Strategies LLC,Facebook,FIRST QUARTER REPORT,30000.00,04/18/2018,2018
David Wade/GreenLight Strategies LLC,Facebook,SECOND QUARTER REPORT,30000.00,06/28/2018,2018
David Wade/GreenLight Strategies LLC,Facebook,THIRD QUARTER REPORT,30000.00,10/11/2018,2018
David Wade/GreenLight Strategies LLC,Facebook,REGISTRATION,,11/10/2017,2017
"Facebook, Inc.","Facebook, Inc.",FOURTH QUARTER REPORT,38117.00,01/20/2010,2009
"Facebook, Inc.","Facebook, Inc.",FOURTH QUARTER REPORT,130000.00,01/20/2011,2010
"Facebook, Inc.","Facebook, Inc.",FOURTH QUARTER REPORT,440000.00,01/20/2012,2011
"Facebook, Inc.","Facebook, Inc.",FOURTH QUARTER REPORT,1990000.00,01/20/2015,2014
"Facebook, Inc.","Facebook, Inc.",FOURTH QUARTER REPORT,2130000.00,01/20/2016,2015
"Facebook, Inc.","Facebook, Inc.",FOURTH QUARTER REPORT,1700000.00,01/20/2017,2016
"Facebook, Inc.","Facebook, Inc.",FOURTH QUARTER REPORT,1480000.00,01/21/2014,2013
"Facebook, Inc.","Facebook, Inc.",FOURTH QUARTER REPORT,1400000.00,01/22/2013,2012
"Facebook, Inc.","Facebook, Inc.",FOURTH QUARTER REPORT,3070000.00,01/22/2018,2017
"Facebook, Inc.","Facebook, Inc.",FOURTH QUARTER REPORT,2830000.00,01/22/2019,2018
"Facebook, Inc.","Facebook, Inc.",THIRD QUARTER AMENDMENT,840000.00,04/02/2013,2012
"Facebook, Inc.","Facebook, Inc.",FIRST QUARTER REPORT,41390.00,04/15/2010,2010
"Facebook, Inc.","Facebook, Inc.",FIRST QUARTER REPORT,230000.00,04/20/2011,2011
"Facebook, Inc.","Facebook, Inc.",SECOND QUARTER AMENDMENT,48137.00,04/20/2011,2009
"Facebook, Inc.","Facebook, Inc.",FIRST QUARTER REPORT,650000.00,04/20/2012,2012
"Facebook, Inc.","Facebook, Inc.",FIRST QUARTER REPORT,2440000.00,04/20/2015,2015
"Facebook, Inc.","Facebook, Inc.",FIRST QUARTER REPORT,2782000.00,04/20/2016,2016
"Facebook, Inc.","Facebook, Inc.",FIRST QUARTER REPORT,3210000.00,04/20/2017,2017
"Facebook, Inc.","Facebook, Inc.",FIRST QUARTER REPORT,3300000.00,04/20/2018,2018
"Facebook, Inc.","Facebook, Inc.",FIRST QUARTER REPORT,2780000.00,04/21/2014,2014
"Facebook, Inc.","Facebook, Inc.",FIRST QUARTER REPORT,2450000.00,04/22/2013,2013
