Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",FOURTH QUARTER (NO ACTIVITY),60000.00,01/19/2012,2011
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",FOURTH QUARTER TERMINATION (NO ACTIVITY),,01/19/2018,2017
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",FOURTH QUARTER (NO ACTIVITY),50000.00,01/22/2013,2012
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",FIRST QUARTER REPORT,20000.00,04/19/2017,2017
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",REGISTRATION AMENDMENT,,04/19/2017,2017
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",FIRST QUARTER (NO ACTIVITY),60000.00,04/20/2012,2012
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",FIRST QUARTER TERMINATION (NO ACTIVITY),,04/22/2013,2013
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",SECOND QUARTER (NO ACTIVITY),60000.00,07/19/2012,2012
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",SECOND QUARTER REPORT,20000.00,07/19/2017,2017
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",REGISTRATION,,08/08/2011,2011
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",THIRD QUARTER REPORT,60000.00,10/16/2011,2011
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",THIRD QUARTER (NO ACTIVITY),60000.00,10/19/2012,2012
AKIN GUMP STRAUSS HAUER & FELD,"Google, Inc.",THIRD QUARTER REPORT,30000.00,10/20/2017,2017
Bingham McCutchen LLP,Google,FOURTH QUARTER REPORT,20000.00,01/13/2014,2013
Bingham McCutchen LLP,Google,FOURTH QUARTER REPORT,40000.00,01/17/2013,2012
Bingham McCutchen LLP,Google,FOURTH QUARTER REPORT,60000.00,01/20/2012,2011
Bingham McCutchen LLP,Google,FOURTH QUARTER TERMINATION,30000.00,01/20/2015,2014
Bingham McCutchen LLP,Google,FIRST QUARTER REPORT,30000.00,04/17/2013,2013
Bingham McCutchen LLP,Google,FIRST QUARTER REPORT,10000.00,04/18/2014,2014
Bingham McCutchen LLP,Google,FIRST QUARTER REPORT,80000.00,04/19/2012,2012
Bingham McCutchen LLP,Google,REGISTRATION,,07/13/2011,2011
Bingham McCutchen LLP,Google,SECOND QUARTER REPORT,30000.00,07/18/2011,2011
Bingham McCutchen LLP,Google,SECOND QUARTER REPORT,50000.00,07/18/2012,2012
Bingham McCutchen LLP,Google,SECOND QUARTER REPORT,20000.00,07/18/2013,2013
Bingham McCutchen LLP,Google,SECOND QUARTER REPORT,10000.00,07/21/2014,2014
Bingham McCutchen LLP,Google,THIRD QUARTER REPORT,30000.00,10/16/2014,2014
Bingham McCutchen LLP,Google,THIRD QUARTER REPORT,30000.00,10/18/2012,2012
Bingham McCutchen LLP,Google,THIRD QUARTER REPORT,90000.00,10/19/2011,2011
Bingham McCutchen LLP,Google,THIRD QUARTER REPORT,20000.00,10/21/2013,2013
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FOURTH QUARTER REPORT,,01/20/2012,2011
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FOURTH QUARTER REPORT,,01/20/2015,2014
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FOURTH QUARTER REPORT,,01/21/2014,2013
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FOURTH QUARTER REPORT,,01/21/2017,2016
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FOURTH QUARTER (NO ACTIVITY),,01/22/2013,2012
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FOURTH QUARTER REPORT,,01/22/2018,2017
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FOURTH QUARTER REPORT,,01/22/2019,2018
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FOURTH QUARTER REPORT,6184.00,01/26/2016,2015
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FIRST QUARTER REPORT,5393.00,04/08/2016,2016
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FIRST QUARTER REPORT,10000.00,04/12/2012,2012
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FIRST QUARTER REPORT,,04/20/2018,2018
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FIRST QUARTER REPORT,,04/21/2014,2014
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FIRST QUARTER REPORT,10000.00,04/21/2017,2017
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FIRST QUARTER REPORT,,04/24/2015,2015
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FIRST QUARTER REPORT,,04/24/2019,2019
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FIRST QUARTER REPORT,10000.00,05/14/2013,2013
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,SECOND QUARTER REPORT,10000.00,07/14/2017,2017
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,SECOND QUARTER REPORT,10000.00,07/15/2013,2013
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,SECOND QUARTER REPORT,7800.00,07/20/2016,2016
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,SECOND QUARTER AMENDMENT,10000.00,07/22/2014,2014
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,SECOND QUARTER (NO ACTIVITY),,07/23/2012,2012
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,SECOND QUARTER REPORT,,07/27/2018,2018
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,SECOND QUARTER REPORT,,07/28/2015,2015
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,REGISTRATION,,08/10/2011,2011
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,THIRD QUARTER REPORT,30000.00,10/05/2011,2011
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,THIRD QUARTER AMENDMENT,,10/17/2014,2014
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,THIRD QUARTER REPORT,,10/19/2012,2012
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,THIRD QUARTER REPORT,5377.00,10/20/2016,2016
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,THIRD QUARTER REPORT,10000.00,10/20/2017,2017
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,THIRD QUARTER REPORT,10000.00,10/22/2013,2013
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,THIRD QUARTER REPORT,,10/22/2018,2018
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,THIRD QUARTER REPORT,5623.00,11/03/2015,2015
"Brown Winick Graves Gross Baskerville & Schoenebaum, PLC",Google Inc.,FOURTH QUARTER (NO ACTIVITY),,12/05/2012,2012
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",GOOGLE,YEAR-END REPORT,100000.00,02/14/2008,2007
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",GOOGLE,FIRST QUARTER TERMINATION (NO ACTIVITY),,04/21/2008,2008
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",GOOGLE,REGISTRATION,,05/31/2007,2007
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",GOOGLE,MID-YEAR REPORT,,08/10/2007,2007
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",GOOGLE,MID-YEAR AMENDMENT,,08/15/2008,2007
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",GOOGLE,YEAR-END AMENDMENT,100000.00,08/15/2008,2007
Capitol Legislative Strategies LLC,Google Inc.,FOURTH QUARTER REPORT,50000.00,01/15/2015,2014
Capitol Legislative Strategies LLC,Google Inc.,FOURTH QUARTER REPORT,50000.00,01/16/2014,2013
Capitol Legislative Strategies LLC,Google Inc.,FOURTH QUARTER REPORT,30000.00,01/17/2018,2017
Capitol Legislative Strategies LLC,Google Inc.,FOURTH QUARTER REPORT,30000.00,01/17/2019,2018
Capitol Legislative Strategies LLC,Google Inc.,FOURTH QUARTER REPORT,50000.00,01/20/2012,2011
Capitol Legislative Strategies LLC,Google Inc.,FOURTH QUARTER REPORT,50000.00,01/20/2016,2015
Capitol Legislative Strategies LLC,Google Inc.,FOURTH QUARTER REPORT,50000.00,01/22/2013,2012
Capitol Legislative Strategies LLC,Google Inc.,FOURTH QUARTER REPORT,50000.00,01/23/2017,2016
Capitol Legislative Strategies LLC,Google Inc.,FIRST QUARTER REPORT,50000.00,04/07/2015,2015
Capitol Legislative Strategies LLC,Google Inc.,FIRST QUARTER REPORT,30000.00,04/12/2019,2019
Capitol Legislative Strategies LLC,Google Inc.,FIRST QUARTER REPORT,50000.00,04/16/2013,2013
Capitol Legislative Strategies LLC,Google Inc.,FIRST QUARTER REPORT,30000.00,04/16/2018,2018
Capitol Legislative Strategies LLC,Google Inc.,FIRST QUARTER REPORT,50000.00,04/17/2017,2017
Capitol Legislative Strategies LLC,Google Inc.,FIRST QUARTER REPORT,50000.00,04/18/2016,2016
Capitol Legislative Strategies LLC,Google Inc.,FIRST QUARTER REPORT,50000.00,04/19/2012,2012
Capitol Legislative Strategies LLC,Google Inc.,FIRST QUARTER REPORT,50000.00,04/21/2014,2014
Capitol Legislative Strategies LLC,Google Inc.,SECOND QUARTER REPORT,50000.00,07/08/2016,2016
Capitol Legislative Strategies LLC,Google Inc.,SECOND QUARTER REPORT,50000.00,07/13/2015,2015
Capitol Legislative Strategies LLC,Google Inc.,SECOND QUARTER REPORT,50000.00,07/16/2014,2014
Capitol Legislative Strategies LLC,Google Inc.,SECOND QUARTER REPORT,50000.00,07/17/2017,2017
Capitol Legislative Strategies LLC,Google Inc.,SECOND QUARTER REPORT,30000.00,07/18/2018,2018
Capitol Legislative Strategies LLC,Google Inc.,SECOND QUARTER REPORT,50000.00,07/19/2013,2013
Capitol Legislative Strategies LLC,Google Inc.,SECOND QUARTER REPORT,50000.00,07/20/2012,2012
Capitol Legislative Strategies LLC,Google Inc.,REGISTRATION,,08/24/2011,2011
Capitol Legislative Strategies LLC,Google Inc.,THIRD QUARTER REPORT,50000.00,10/05/2016,2016
Capitol Legislative Strategies LLC,Google Inc.,THIRD QUARTER REPORT,30000.00,10/09/2018,2018
Capitol Legislative Strategies LLC,Google Inc.,THIRD QUARTER REPORT,30000.00,10/11/2017,2017
Capitol Legislative Strategies LLC,Google Inc.,THIRD QUARTER REPORT,50000.00,10/13/2015,2015
Capitol Legislative Strategies LLC,Google Inc.,THIRD QUARTER REPORT,50000.00,10/17/2013,2013
Capitol Legislative Strategies LLC,Google Inc.,THIRD QUARTER REPORT,50000.00,10/20/2011,2011
Capitol Legislative Strategies LLC,Google Inc.,THIRD QUARTER REPORT,50000.00,10/20/2014,2014
Capitol Legislative Strategies LLC,Google Inc.,THIRD QUARTER REPORT,50000.00,10/22/2012,2012
"Capitol Tax Partners, LLP",GOOGLE,REGISTRATION,,01/06/2006,2005
"Capitol Tax Partners, LLP",GOOGLE,YEAR-END REPORT,20000.00,01/06/2006,2005
"Capitol Tax Partners, LLP",GOOGLE,YEAR-END TERMINATION,80000.00,02/28/2007,2006
"Capitol Tax Partners, LLP",GOOGLE,MID-YEAR REPORT,120000.00,08/21/2006,2006
Chesapeake Enterprises,Google,FOURTH QUARTER REPORT,50000.00,01/18/2012,2011
Chesapeake Enterprises,Google,FOURTH QUARTER REPORT,20000.00,01/18/2013,2012
Chesapeake Enterprises,Google,FOURTH QUARTER TERMINATION AMENDMENT,20000.00,01/18/2013,2012
Chesapeake Enterprises,Google,FIRST QUARTER REPORT,20000.00,04/19/2012,2012
Chesapeake Enterprises,Google,SECOND QUARTER REPORT,40000.00,07/17/2012,2012
Chesapeake Enterprises,Google,REGISTRATION,,07/18/2011,2011
Chesapeake Enterprises,Google,SECOND QUARTER REPORT,,07/19/2011,2011
Chesapeake Enterprises,Google,THIRD QUARTER REPORT,,10/19/2011,2011
Chesapeake Enterprises,Google,THIRD QUARTER REPORT,40000.00,10/22/2012,2012
