Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
ALVARADO & BENNETT,IBM,YEAR-END REPORT,60000.00,02/25/2003,2002
ALVARADO & BENNETT,IBM,MID-YEAR TERMINATION (NO ACTIVITY),,08/22/2003,2003
ALVARADO & BENNETT,IBM,REGISTRATION,,10/24/2002,2002
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,REGISTRATION,,01/14/2008,2007
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,FOURTH QUARTER REPORT,,01/20/2010,2009
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,FOURTH QUARTER REPORT,,01/20/2011,2010
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,FOURTH QUARTER REPORT,,01/21/2009,2008
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,YEAR-END REPORT,,02/14/2008,2007
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,FIRST QUARTER REPORT,,04/20/2009,2009
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,FIRST QUARTER REPORT,,04/20/2010,2010
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,FIRST QUARTER REPORT,,04/20/2011,2011
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,FIRST QUARTER REPORT,,04/21/2008,2008
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,SECOND QUARTER REPORT,,07/20/2009,2009
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,SECOND QUARTER REPORT,,07/20/2010,2010
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,SECOND QUARTER TERMINATION,,07/20/2011,2011
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,SECOND QUARTER REPORT,,07/21/2008,2008
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,THIRD QUARTER REPORT,,10/20/2008,2008
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,THIRD QUARTER REPORT,,10/20/2009,2009
"Baker & McKenzie, LLP",International Business Machines (IBM) Corporation,THIRD QUARTER REPORT,,10/25/2010,2010
Bergson & Company,IBM Business Consulting,YEAR-END TERMINATION,40000.00,01/03/2008,2007
Bergson & Company,IBM Business Consulting,YEAR-END REPORT,20000.00,01/05/2006,2005
Bergson & Company,IBM Business Consulting,YEAR-END REPORT,40000.00,02/04/2005,2004
Bergson & Company,IBM Business Consulting,YEAR-END REPORT,40000.00,02/05/2003,2002
Bergson & Company,IBM Business Consulting,YEAR-END REPORT,20000.00,02/08/2007,2006
Bergson & Company,IBM Business Consulting,YEAR-END REPORT,40000.00,03/01/2004,2003
Bergson & Company,IBM Business Consulting,YEAR-END REPORT,30000.00,03/05/2002,2001
Bergson & Company,IBM Business Consulting,REGISTRATION,,04/05/2001,2001
Bergson & Company,IBM Business Consulting,MID-YEAR REPORT,40000.00,07/29/2004,2004
Bergson & Company,IBM Business Consulting,MID-YEAR REPORT,20000.00,07/29/2005,2005
Bergson & Company,IBM Business Consulting,MID-YEAR REPORT,20000.00,08/08/2007,2007
Bergson & Company,IBM Business Consulting,MID-YEAR REPORT,20000.00,08/10/2006,2006
Bergson & Company,IBM Business Consulting,MID-YEAR REPORT,40000.00,08/11/2003,2003
Bergson & Company,IBM Business Consulting,MID-YEAR REPORT,20000.00,08/13/2001,2001
Bergson & Company,IBM Business Consulting,MID-YEAR REPORT,40000.00,08/21/2002,2002
BGR Government Affairs,IBM GLOBAL SERVICES,FOURTH QUARTER REPORT,50000.00,01/19/2009,2008
BGR Government Affairs,IBM GLOBAL SERVICES,REGISTRATION,,02/14/2006,2006
BGR Government Affairs,IBM GLOBAL SERVICES,YEAR-END REPORT,60000.00,02/14/2006,2005
BGR Government Affairs,IBM GLOBAL SERVICES,YEAR-END REPORT,100000.00,02/14/2007,2006
BGR Government Affairs,IBM GLOBAL SERVICES,YEAR-END REPORT,100000.00,02/14/2008,2007
BGR Government Affairs,IBM GLOBAL SERVICES,FIRST QUARTER REPORT,50000.00,04/20/2009,2009
BGR Government Affairs,IBM GLOBAL SERVICES,FIRST QUARTER REPORT,50000.00,04/21/2008,2008
BGR Government Affairs,IBM GLOBAL SERVICES,SECOND QUARTER REPORT,50000.00,07/18/2008,2008
BGR Government Affairs,IBM GLOBAL SERVICES,SECOND QUARTER TERMINATION,30000.00,07/20/2009,2009
BGR Government Affairs,IBM GLOBAL SERVICES,MID-YEAR REPORT,60000.00,08/11/2006,2006
BGR Government Affairs,IBM GLOBAL SERVICES,MID-YEAR REPORT,100000.00,08/13/2007,2007
BGR Government Affairs,IBM GLOBAL SERVICES,THIRD QUARTER REPORT,50000.00,09/15/2008,2008
BGR Government Affairs,IBM GLOBAL SERVICES,THIRD QUARTER AMENDMENT,50000.00,10/17/2008,2008
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",IBM CORP,YEAR-END TERMINATION (NO ACTIVITY),,03/01/2006,2005
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",IBM CORP,REGISTRATION,,08/29/2005,2005
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",IBM CORP,REGISTRATION AMENDMENT,,09/23/2005,2005
Capitol Solutions,INTL BUSINESS MACHINES CORP (IBM),YEAR-END REPORT,60000.00,01/18/2001,2000
Capitol Solutions,INTL BUSINESS MACHINES CORP (IBM),YEAR-END REPORT,40000.00,02/09/2000,1999
Capitol Solutions,INTL BUSINESS MACHINES CORP (IBM),YEAR-END TERMINATION AMENDMENT,60000.00,03/15/2001,2000
Capitol Solutions,INTL BUSINESS MACHINES CORP (IBM),MID-YEAR REPORT,60000.00,08/04/2000,2000
Capitol Solutions,INTL BUSINESS MACHINES CORP (IBM),MID-YEAR REPORT,40000.00,08/12/1999,1999
"Cassidy & Associates, Inc.",IBM(FORMERLY HEALTHLINK INC),YEAR-END TERMINATION (NO ACTIVITY),40000.00,02/12/2007,2006
"Cassidy & Associates, Inc.",IBM(FORMERLY HEALTHLINK INC),REGISTRATION,,02/14/2005,2004
"Cassidy & Associates, Inc.",IBM(FORMERLY HEALTHLINK INC),YEAR-END (NO ACTIVITY),60000.00,02/14/2006,2005
"Cassidy & Associates, Inc.",IBM(FORMERLY HEALTHLINK INC),YEAR-END REPORT,20000.00,02/25/2005,2004
"Cassidy & Associates, Inc.",IBM(FORMERLY HEALTHLINK INC),YEAR-END AMENDMENT,20000.00,06/15/2005,2004
"Cassidy & Associates, Inc.",IBM(FORMERLY HEALTHLINK INC),MID-YEAR REPORT,60000.00,08/12/2005,2005
"Cassidy & Associates, Inc.",IBM(FORMERLY HEALTHLINK INC),MID-YEAR (NO ACTIVITY),60000.00,08/15/2005,2005
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FOURTH QUARTER REPORT,50000.00,01/09/2014,2013
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FOURTH QUARTER REPORT,40000.00,01/09/2015,2014
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FOURTH QUARTER REPORT,40000.00,01/11/2017,2016
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FOURTH QUARTER REPORT,40000.00,01/13/2016,2015
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FOURTH QUARTER REPORT,20000.00,01/15/2013,2012
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FOURTH QUARTER REPORT,30000.00,01/18/2012,2011
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,REGISTRATION,,01/19/2011,2011
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FOURTH QUARTER REPORT,30000.00,01/22/2019,2018
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FOURTH QUARTER REPORT,10000.00,01/23/2018,2017
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FIRST QUARTER REPORT,30000.00,04/08/2011,2011
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FIRST QUARTER (NO ACTIVITY),,04/12/2016,2016
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FIRST QUARTER REPORT,40000.00,04/14/2014,2014
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FIRST QUARTER REPORT,40000.00,04/14/2015,2015
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FIRST QUARTER REPORT,20000.00,04/16/2012,2012
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FIRST QUARTER REPORT,30000.00,04/16/2019,2019
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FIRST QUARTER REPORT,20000.00,04/18/2013,2013
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FIRST QUARTER REPORT,10000.00,04/18/2017,2017
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,FIRST QUARTER REPORT,30000.00,04/18/2018,2018
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,REGISTRATION AMENDMENT,,05/22/2013,2011
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,SECOND QUARTER REPORT,30000.00,07/01/2011,2011
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,SECOND QUARTER REPORT,40000.00,07/09/2015,2015
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",IBM,SECOND QUARTER REPORT,40000.00,07/11/2014,2014
