Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
"Adams and Reese, LLP","K2 Intelligence, Inc./Thacher Associates, LLC",FOURTH QUARTER REPORT,15000.00,01/07/2016,2015
"Adams and Reese, LLP","K2 Intelligence, Inc./Thacher Associates, LLC",FOURTH QUARTER REPORT,15000.00,01/22/2017,2016
"Adams and Reese, LLP","K2 Intelligence, Inc./Thacher Associates, LLC",FIRST QUARTER REPORT,15000.00,04/12/2017,2017
"Adams and Reese, LLP","K2 Intelligence, Inc./Thacher Associates, LLC",FIRST QUARTER REPORT,15000.00,04/14/2016,2016
"Adams and Reese, LLP","K2 Intelligence, Inc./Thacher Associates, LLC",SECOND QUARTER TERMINATION,15000.00,07/06/2017,2017
"Adams and Reese, LLP","K2 Intelligence, Inc./Thacher Associates, LLC",SECOND QUARTER REPORT,15000.00,07/13/2016,2016
"Adams and Reese, LLP","K2 Intelligence, Inc./Thacher Associates, LLC",REGISTRATION,,10/05/2015,2015
"Adams and Reese, LLP","K2 Intelligence, Inc./Thacher Associates, LLC",THIRD QUARTER REPORT,15000.00,10/05/2016,2016
"Adams and Reese, LLP","K2 Intelligence, Inc./Thacher Associates, LLC",THIRD QUARTER REPORT,10000.00,10/20/2015,2015
Advantage Associates International,INTELLIGENT DECISIONS,MID-YEAR (NO ACTIVITY),,08/11/1999,1999
Advantage Associates International,INTELLIGENT DECISIONS,MID-YEAR TERMINATION AMENDMENT,,10/12/1999,1999
AKIN GUMP STRAUSS HAUER & FELD,Intel Corporation,REGISTRATION,,01/13/2016,2015
AKIN GUMP STRAUSS HAUER & FELD,Intel Corporation,FOURTH QUARTER REPORT,30000.00,01/20/2016,2015
AKIN GUMP STRAUSS HAUER & FELD,Intel Corporation,FOURTH QUARTER REPORT,30000.00,01/23/2017,2016
AKIN GUMP STRAUSS HAUER & FELD,Intel Corporation,FIRST QUARTER REPORT,30000.00,04/19/2017,2017
AKIN GUMP STRAUSS HAUER & FELD,Intel Corporation,FIRST QUARTER REPORT,30000.00,04/20/2016,2016
AKIN GUMP STRAUSS HAUER & FELD,Intel Corporation,SECOND QUARTER REPORT,30000.00,07/19/2016,2016
AKIN GUMP STRAUSS HAUER & FELD,Intel Corporation,SECOND QUARTER TERMINATION,20000.00,07/20/2017,2017
AKIN GUMP STRAUSS HAUER & FELD,Intel Corporation,THIRD QUARTER REPORT,30000.00,10/20/2016,2016
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FOURTH QUARTER REPORT,130000.00,01/18/2009,2008
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FOURTH QUARTER REPORT,50000.00,01/18/2015,2014
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FOURTH QUARTER REPORT,50000.00,01/19/2011,2010
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FOURTH QUARTER REPORT,50000.00,01/19/2012,2011
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FOURTH QUARTER REPORT,50000.00,01/19/2014,2013
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FOURTH QUARTER REPORT,50000.00,01/20/2013,2012
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FOURTH QUARTER REPORT,50000.00,01/20/2016,2015
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,SECOND QUARTER (NO ACTIVITY),,04/14/2009,2008
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FIRST QUARTER (NO ACTIVITY),,04/18/2009,2009
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FIRST QUARTER REPORT,50000.00,04/18/2015,2015
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FIRST QUARTER REPORT,50000.00,04/19/2016,2016
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FIRST QUARTER REPORT,50000.00,04/20/2011,2011
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FIRST QUARTER REPORT,50000.00,04/20/2012,2012
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FIRST QUARTER REPORT,50000.00,04/20/2014,2014
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,FIRST QUARTER REPORT,50000.00,04/21/2013,2013
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,REGISTRATION AMENDMENT,,05/26/2010,2010
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,SECOND QUARTER TERMINATION (NO ACTIVITY),,07/17/2009,2009
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,SECOND QUARTER REPORT,50000.00,07/19/2011,2011
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,SECOND QUARTER REPORT,50000.00,07/19/2012,2012
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,SECOND QUARTER REPORT,50000.00,07/19/2014,2014
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,SECOND QUARTER TERMINATION (NO ACTIVITY),,07/19/2016,2016
AKIN GUMP STRAUSS HAUER & FELD,U.S. Chamber of Commerce - Global Intellectual Property Center,SECOND QUARTER REPORT,40000.00,07/20/2010,2010
