Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Capitol Hill Partners,LinkedIn,FOURTH QUARTER REPORT,30000.00,01/18/2018,2017
Capitol Hill Partners,LinkedIn,FOURTH QUARTER REPORT,,01/18/2019,2018
Capitol Hill Partners,LinkedIn,FIRST QUARTER REPORT,,04/18/2019,2019
Capitol Hill Partners,LinkedIn,FIRST QUARTER REPORT,30000.00,04/19/2018,2018
Capitol Hill Partners,LinkedIn,REGISTRATION,,05/13/2017,2017
Capitol Hill Partners,LinkedIn,FIRST QUARTER REPORT,,05/23/2017,2017
Capitol Hill Partners,LinkedIn,REGISTRATION AMENDMENT,,05/23/2017,2017
Capitol Hill Partners,LinkedIn,SECOND QUARTER REPORT,30000.00,07/19/2017,2017
Capitol Hill Partners,LinkedIn,SECOND QUARTER REPORT,30000.00,07/19/2018,2018
Capitol Hill Partners,LinkedIn,THIRD QUARTER REPORT,30000.00,10/18/2017,2017
Capitol Hill Partners,LinkedIn,THIRD QUARTER REPORT,10000.00,10/18/2018,2018
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,FOURTH QUARTER REPORT,30000.00,01/16/2014,2013
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,SECOND QUARTER (NO ACTIVITY),20000.00,01/18/2018,2017
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,FOURTH QUARTER REPORT,50000.00,01/19/2017,2016
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,FOURTH QUARTER REPORT,50000.00,01/20/2015,2014
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,FOURTH QUARTER REPORT,50000.00,01/20/2016,2015
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,FOURTH QUARTER REPORT,30000.00,01/22/2013,2012
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,SECOND QUARTER TERMINATION (NO ACTIVITY),20000.00,02/16/2018,2017
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,FIRST QUARTER (NO ACTIVITY),50000.00,04/19/2017,2017
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,FIRST QUARTER REPORT,50000.00,04/20/2015,2015
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,FIRST QUARTER REPORT,50000.00,04/20/2016,2016
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,FIRST QUARTER REPORT,40000.00,04/21/2014,2014
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,FIRST QUARTER REPORT,30000.00,04/24/2013,2013
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,REGISTRATION,,05/18/2012,2012
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,SECOND QUARTER REPORT,50000.00,07/17/2014,2014
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,SECOND QUARTER REPORT,50000.00,07/17/2015,2015
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,SECOND QUARTER REPORT,50000.00,07/19/2016,2016
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,SECOND QUARTER REPORT,30000.00,07/20/2012,2012
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,SECOND QUARTER REPORT,30000.00,07/22/2013,2013
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,THIRD QUARTER REPORT,50000.00,10/17/2014,2014
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,THIRD QUARTER REPORT,50000.00,10/19/2015,2015
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,THIRD QUARTER REPORT,50000.00,10/19/2016,2016
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,THIRD QUARTER REPORT,30000.00,10/21/2013,2013
"Monument Advocacy (formerly known as Monument Policy Group, LLC)",LinkedIn Corporation,THIRD QUARTER REPORT,30000.00,10/22/2012,2012
