Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
10-Square Solutions,Microsoft Corporation,FOURTH QUARTER REPORT,60000.00,01/11/2019,2018
10-Square Solutions,Microsoft Corporation,REGISTRATION,,04/09/2018,2018
10-Square Solutions,Microsoft Corporation,FIRST QUARTER REPORT,20000.00,04/17/2018,2018
10-Square Solutions,Microsoft Corporation,FIRST QUARTER REPORT,60000.00,04/22/2019,2019
10-Square Solutions,Microsoft Corporation,SECOND QUARTER REPORT,20000.00,07/17/2018,2018
10-Square Solutions,Microsoft Corporation,THIRD QUARTER REPORT,20000.00,10/18/2018,2018
"Aduston Consulting, LLC",MICROSOFT CORP,FOURTH QUARTER REPORT,20000.00,01/18/2013,2012
"Aduston Consulting, LLC",MICROSOFT CORP,FOURTH QUARTER REPORT,20000.00,01/19/2012,2011
"Aduston Consulting, LLC",MICROSOFT CORP,FOURTH QUARTER REPORT,30000.00,01/19/2016,2015
"Aduston Consulting, LLC",MICROSOFT CORP,FOURTH QUARTER REPORT,20000.00,01/20/2009,2008
"Aduston Consulting, LLC",MICROSOFT CORP,FOURTH QUARTER REPORT,20000.00,01/20/2010,2009
"Aduston Consulting, LLC",MICROSOFT CORP,FOURTH QUARTER REPORT,20000.00,01/20/2011,2010
"Aduston Consulting, LLC",MICROSOFT CORP,FOURTH QUARTER REPORT,30000.00,01/20/2014,2013
"Aduston Consulting, LLC",MICROSOFT CORP,FOURTH QUARTER REPORT,20000.00,01/20/2015,2014
"Aduston Consulting, LLC",MICROSOFT CORP,FOURTH QUARTER REPORT,10000.00,01/21/2019,2018
"Aduston Consulting, LLC",MICROSOFT CORP,FOURTH QUARTER REPORT,30000.00,01/22/2018,2017
"Aduston Consulting, LLC",MICROSOFT CORP,FOURTH QUARTER REPORT,30000.00,01/23/2017,2016
"Aduston Consulting, LLC",MICROSOFT CORP,YEAR-END REPORT,40000.00,02/13/2008,2007
"Aduston Consulting, LLC",MICROSOFT CORP,YEAR-END REPORT,40000.00,02/14/2007,2006
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER REPORT,20000.00,04/18/2008,2008
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER REPORT,20000.00,04/19/2010,2010
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER REPORT,30000.00,04/19/2016,2016
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER REPORT,20000.00,04/20/2009,2009
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER REPORT,20000.00,04/20/2011,2011
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER REPORT,20000.00,04/20/2012,2012
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER AMENDMENT,30000.00,04/20/2016,2016
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER REPORT,30000.00,04/20/2017,2017
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER REPORT,30000.00,04/20/2018,2018
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER REPORT,30000.00,04/21/2014,2014
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER REPORT,20000.00,04/22/2013,2013
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER REPORT,10000.00,04/22/2015,2015
"Aduston Consulting, LLC",MICROSOFT CORP,FIRST QUARTER TERMINATION (NO ACTIVITY),20000.00,04/22/2019,2019
"Aduston Consulting, LLC",MICROSOFT CORP,REGISTRATION,,05/08/2006,2006
"Aduston Consulting, LLC",MICROSOFT CORP,SECOND QUARTER REPORT,20000.00,07/18/2012,2012
"Aduston Consulting, LLC",MICROSOFT CORP,SECOND QUARTER REPORT,20000.00,07/20/2009,2009
"Aduston Consulting, LLC",MICROSOFT CORP,SECOND QUARTER REPORT,20000.00,07/20/2010,2010
"Aduston Consulting, LLC",MICROSOFT CORP,SECOND QUARTER REPORT,20000.00,07/20/2011,2011
"Aduston Consulting, LLC",MICROSOFT CORP,SECOND QUARTER REPORT,20000.00,07/20/2015,2015
"Aduston Consulting, LLC",MICROSOFT CORP,SECOND QUARTER REPORT,30000.00,07/20/2016,2016
"Aduston Consulting, LLC",MICROSOFT CORP,SECOND QUARTER REPORT,30000.00,07/20/2018,2018
"Aduston Consulting, LLC",MICROSOFT CORP,SECOND QUARTER REPORT,20000.00,07/21/2008,2008
"Aduston Consulting, LLC",MICROSOFT CORP,SECOND QUARTER REPORT,30000.00,07/21/2014,2014
"Aduston Consulting, LLC",MICROSOFT CORP,SECOND QUARTER REPORT,20000.00,07/22/2013,2013
"Aduston Consulting, LLC",MICROSOFT CORP,MID-YEAR REPORT,40000.00,08/13/2007,2007
"Aduston Consulting, LLC",MICROSOFT CORP,SECOND QUARTER REPORT,30000.00,08/15/2017,2017
