Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
"Corley Consulting, LLC","Netflix, Inc.",FOURTH QUARTER REPORT,30000.00,01/13/2017,2016
"Corley Consulting, LLC","Netflix, Inc.",FOURTH QUARTER REPORT,30000.00,01/15/2016,2015
"Corley Consulting, LLC","Netflix, Inc.",THIRD QUARTER REPORT,30000.00,01/15/2016,2015
"Corley Consulting, LLC","Netflix, Inc.",FOURTH QUARTER REPORT,30000.00,02/18/2015,2014
"Corley Consulting, LLC","Netflix, Inc.",FOURTH QUARTER REPORT,50000.00,02/19/2018,2017
"Corley Consulting, LLC","Netflix, Inc.",FIRST QUARTER REPORT,30000.00,04/29/2016,2016
"Corley Consulting, LLC","Netflix, Inc.",FIRST QUARTER REPORT,30000.00,05/07/2017,2017
"Corley Consulting, LLC","Netflix, Inc.",FIRST QUARTER REPORT,30000.00,05/29/2015,2015
"Corley Consulting, LLC","Netflix, Inc.",FIRST QUARTER REPORT,50000.00,05/30/2018,2018
"Corley Consulting, LLC","Netflix, Inc.",SECOND QUARTER REPORT,50000.00,07/01/2017,2017
"Corley Consulting, LLC","Netflix, Inc.",SECOND QUARTER TERMINATION (NO ACTIVITY),20000.00,08/01/2018,2018
"Corley Consulting, LLC","Netflix, Inc.",REGISTRATION,,08/06/2014,2014
"Corley Consulting, LLC","Netflix, Inc.",SECOND QUARTER REPORT,30000.00,08/08/2014,2014
"Corley Consulting, LLC","Netflix, Inc.",SECOND QUARTER REPORT,30000.00,09/02/2015,2015
"Corley Consulting, LLC","Netflix, Inc.",SECOND QUARTER REPORT,30000.00,09/26/2016,2016
"Corley Consulting, LLC","Netflix, Inc.",THIRD QUARTER REPORT,30000.00,10/06/2016,2016
"Corley Consulting, LLC","Netflix, Inc.",THIRD QUARTER REPORT,30000.00,11/01/2014,2014
"Corley Consulting, LLC","Netflix, Inc.",THIRD QUARTER REPORT,50000.00,11/28/2017,2017
"Franklin Square Group, LLC",NETFLIX,FOURTH QUARTER REPORT,30000.00,01/20/2012,2011
"Franklin Square Group, LLC",NETFLIX,FIRST QUARTER TERMINATION,20000.00,04/22/2012,2012
"Franklin Square Group, LLC",NETFLIX,REGISTRATION,,07/18/2011,2011
"Franklin Square Group, LLC",NETFLIX,SECOND QUARTER REPORT,10000.00,07/20/2011,2011
"Franklin Square Group, LLC",NETFLIX,THIRD QUARTER REPORT,30000.00,10/20/2011,2011
"Greenberg Traurig, LLP",Netflix,FOURTH QUARTER REPORT,40000.00,01/17/2013,2012
"Greenberg Traurig, LLP",Netflix,FIRST QUARTER TERMINATION,20000.00,04/18/2013,2013
"Greenberg Traurig, LLP",Netflix,REGISTRATION,,04/20/2012,2012
"Greenberg Traurig, LLP",Netflix,FIRST QUARTER REPORT,40000.00,04/23/2012,2012
"Greenberg Traurig, LLP",Netflix,SECOND QUARTER REPORT,40000.00,07/13/2012,2012
"Greenberg Traurig, LLP",Netflix,THIRD QUARTER REPORT,40000.00,10/18/2012,2012
"Kountoupes Denham Carr & Reid, LLC","Netflix, Inc.",FOURTH QUARTER REPORT,40000.00,01/20/2012,2011
"Kountoupes Denham Carr & Reid, LLC","Netflix, Inc.",FOURTH QUARTER AMENDMENT,50000.00,01/22/2013,2012
"Kountoupes Denham Carr & Reid, LLC","Netflix, Inc.",FOURTH QUARTER REPORT,50000.00,01/22/2013,2012
"Kountoupes Denham Carr & Reid, LLC","Netflix, Inc.",FIRST QUARTER REPORT,40000.00,04/20/2012,2012
"Kountoupes Denham Carr & Reid, LLC","Netflix, Inc.",FIRST QUARTER TERMINATION,30000.00,04/22/2013,2013
"Kountoupes Denham Carr & Reid, LLC","Netflix, Inc.",REGISTRATION,,07/18/2011,2011
"Kountoupes Denham Carr & Reid, LLC","Netflix, Inc.",SECOND QUARTER REPORT,50000.00,07/19/2012,2012
"Kountoupes Denham Carr & Reid, LLC","Netflix, Inc.",SECOND QUARTER REPORT,10000.00,07/20/2011,2011
"Kountoupes Denham Carr & Reid, LLC","Netflix, Inc.",THIRD QUARTER REPORT,40000.00,10/20/2011,2011
"Kountoupes Denham Carr & Reid, LLC","Netflix, Inc.",THIRD QUARTER REPORT,50000.00,10/22/2012,2012
"Monument Advocacy (formerly known as Monument Policy Group, LLC)","NETFLIX, INC.",FOURTH QUARTER REPORT,10000.00,01/20/2010,2009
"Monument Advocacy (formerly known as Monument Policy Group, LLC)","NETFLIX, INC.",FOURTH QUARTER REPORT,30000.00,01/20/2011,2010
"Monument Advocacy (formerly known as Monument Policy Group, LLC)","NETFLIX, INC.",FOURTH QUARTER REPORT,40000.00,01/20/2012,2011
"Monument Advocacy (formerly known as Monument Policy Group, LLC)","NETFLIX, INC.",FOURTH QUARTER REPORT,40000.00,01/21/2019,2018
"Monument Advocacy (formerly known as Monument Policy Group, LLC)","NETFLIX, INC.",FOURTH QUARTER REPORT,40000.00,01/22/2013,2012
