Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
ARTHUR ANDERSEN,ORACLE,MID-YEAR TERMINATION (NO ACTIVITY),,08/16/1999,1999
Ashcroft Group,Oracle Corporation,FOURTH QUARTER REPORT,75000.00,01/20/2010,2009
Ashcroft Group,Oracle Corporation,FOURTH QUARTER REPORT,30000.00,01/21/2009,2008
Ashcroft Group,Oracle Corporation,YEAR-END REPORT,240000.00,02/13/2007,2006
Ashcroft Group,Oracle Corporation,REGISTRATION,,02/13/2008,2005
Ashcroft Group,Oracle Corporation,REGISTRATION,,02/13/2008,2005
Ashcroft Group,Oracle Corporation,REGISTRATION,,02/14/2008,2005
Ashcroft Group,Oracle Corporation,REGISTRATION,,02/14/2008,2005
Ashcroft Group,Oracle Corporation,REGISTRATION,,02/14/2008,2005
Ashcroft Group,Oracle Corporation,YEAR-END REPORT,90000.00,02/14/2008,2007
Ashcroft Group,Oracle Corporation,YEAR-END REPORT,90000.00,02/21/2008,2007
Ashcroft Group,Oracle Corporation,YEAR-END AMENDMENT,,04/19/2006,2005
Ashcroft Group,Oracle Corporation,FIRST QUARTER REPORT,75000.00,04/20/2009,2009
Ashcroft Group,Oracle Corporation,FIRST QUARTER TERMINATION,45000.00,04/20/2010,2010
Ashcroft Group,Oracle Corporation,FIRST QUARTER REPORT,90000.00,04/21/2008,2008
Ashcroft Group,Oracle Corporation,FIRST QUARTER TERMINATION AMENDMENT,90000.00,06/10/2011,2008
Ashcroft Group,Oracle Corporation,MID-YEAR REPORT,240000.00,07/14/2006,2006
Ashcroft Group,Oracle Corporation,SECOND QUARTER REPORT,45000.00,07/20/2009,2009
Ashcroft Group,Oracle Corporation,SECOND QUARTER REPORT,45000.00,07/21/2008,2008
Ashcroft Group,Oracle Corporation,MID-YEAR REPORT,120000.00,08/14/2007,2007
Ashcroft Group,Oracle Corporation,FIRST QUARTER AMENDMENT,90000.00,09/04/2008,2008
Ashcroft Group,Oracle Corporation,REGISTRATION,,10/18/2005,2005
Ashcroft Group,Oracle Corporation,THIRD QUARTER REPORT,30000.00,10/19/2009,2009
Ashcroft Group,Oracle Corporation,REGISTRATION AMENDMENT,,10/20/2008,2005
Ashcroft Group,Oracle Corporation,THIRD QUARTER REPORT,45000.00,10/20/2008,2008
Ashcroft Group,Oracle Corporation,REGISTRATION AMENDMENT,,10/22/2008,2005
Ashcroft Group,Oracle Corporation,YEAR-END REPORT,220000.00,12/08/2005,2005
Ashcroft Group,Oracle Corporation,YEAR-END REPORT,240000.00,12/21/2006,2006
"BAINWOL, MITCH",ORACLE CORP,YEAR-END TERMINATION,20000.00,02/13/2004,2003
"BAINWOL, MITCH",ORACLE CORP,REGISTRATION,,07/18/2003,2003
Ben Barnes Group LP,Oracle,FOURTH QUARTER REPORT,25000.00,01/18/2010,2009
Ben Barnes Group LP,Oracle,FIRST QUARTER REPORT,75000.00,04/15/2010,2010
Ben Barnes Group LP,Oracle,SECOND QUARTER (NO ACTIVITY),75000.00,07/13/2010,2010
Ben Barnes Group LP,Oracle,REGISTRATION,,10/01/2009,2009
Ben Barnes Group LP,Oracle,REGISTRATION AMENDMENT,,10/07/2009,2009
Ben Barnes Group LP,Oracle,THIRD QUARTER TERMINATION (NO ACTIVITY),25000.00,10/09/2010,2010
Ben Barnes Group LP,Oracle,THIRD QUARTER REPORT,,10/17/2009,2009
BGR Government Affairs,Oracle Corporation,YEAR-END TERMINATION,200000.00,02/14/2008,2007
BGR Government Affairs,Oracle Corporation,REGISTRATION,,06/13/2007,2007
BGR Government Affairs,Oracle Corporation,MID-YEAR REPORT,160000.00,08/13/2007,2007
