Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Akerman LLP,QUALCOMM INCORPORATED,YEAR-END REPORT,120000.00,01/09/2006,2005
Akerman LLP,QUALCOMM INCORPORATED,MID-YEAR TERMINATION,,07/03/2006,2006
Akerman LLP,QUALCOMM INCORPORATED,REGISTRATION,,08/12/2005,2005
AKIN GUMP STRAUSS HAUER & FELD,Qualcomm Incorporated,REGISTRATION,,01/02/2018,2017
AKIN GUMP STRAUSS HAUER & FELD,Qualcomm Incorporated,FOURTH QUARTER REPORT,100000.00,01/19/2018,2017
AKIN GUMP STRAUSS HAUER & FELD,Qualcomm Incorporated,FOURTH QUARTER REPORT,200000.00,01/22/2019,2018
AKIN GUMP STRAUSS HAUER & FELD,Qualcomm Incorporated,FOURTH QUARTER AMENDMENT,200000.00,03/13/2019,2018
AKIN GUMP STRAUSS HAUER & FELD,Qualcomm Incorporated,FIRST QUARTER REPORT,300000.00,04/20/2018,2018
AKIN GUMP STRAUSS HAUER & FELD,Qualcomm Incorporated,FIRST QUARTER REPORT,340000.00,04/22/2019,2019
AKIN GUMP STRAUSS HAUER & FELD,Qualcomm Incorporated,SECOND QUARTER REPORT,100000.00,07/20/2018,2018
AKIN GUMP STRAUSS HAUER & FELD,Qualcomm Incorporated,THIRD QUARTER REPORT,150000.00,10/22/2018,2018
American Continental Group,"Paul, Weiss, Rifkind, Wharton & Garrison LLP on behalf of Qualcomm Incorporated",REGISTRATION,,04/18/2019,2019
American Continental Group,"Paul, Weiss, Rifkind, Wharton & Garrison LLP on behalf of Qualcomm Incorporated",FIRST QUARTER REPORT,30000.00,04/19/2019,2019
Arent Fox LLP,Qualcomm Incorporated,FOURTH QUARTER REPORT,60000.00,01/20/2015,2014
Arent Fox LLP,Qualcomm Incorporated,FOURTH QUARTER REPORT,80000.00,01/20/2016,2015
Arent Fox LLP,Qualcomm Incorporated,FOURTH QUARTER REPORT,80000.00,01/20/2018,2017
Arent Fox LLP,Qualcomm Incorporated,FOURTH QUARTER REPORT,80000.00,01/22/2019,2018
Arent Fox LLP,Qualcomm Incorporated,FOURTH QUARTER REPORT,80000.00,01/23/2017,2016
Arent Fox LLP,Qualcomm Incorporated,REGISTRATION,,03/18/2014,2014
Arent Fox LLP,Qualcomm Incorporated,FIRST QUARTER REPORT,60000.00,04/20/2015,2015
Arent Fox LLP,Qualcomm Incorporated,FIRST QUARTER REPORT,80000.00,04/20/2016,2016
Arent Fox LLP,Qualcomm Incorporated,FIRST QUARTER REPORT,80000.00,04/20/2017,2017
Arent Fox LLP,Qualcomm Incorporated,FIRST QUARTER REPORT,80000.00,04/20/2018,2018
Arent Fox LLP,Qualcomm Incorporated,FIRST QUARTER REPORT,80000.00,04/20/2019,2019
Arent Fox LLP,Qualcomm Incorporated,FIRST QUARTER REPORT,60000.00,04/21/2014,2014
Arent Fox LLP,Qualcomm Incorporated,SECOND QUARTER REPORT,80000.00,07/19/2018,2018
Arent Fox LLP,Qualcomm Incorporated,SECOND QUARTER REPORT,70000.00,07/20/2015,2015
Arent Fox LLP,Qualcomm Incorporated,SECOND QUARTER REPORT,80000.00,07/20/2016,2016
Arent Fox LLP,Qualcomm Incorporated,SECOND QUARTER REPORT,80000.00,07/20/2017,2017
Arent Fox LLP,Qualcomm Incorporated,SECOND QUARTER REPORT,60000.00,07/21/2014,2014
Arent Fox LLP,Qualcomm Incorporated,THIRD QUARTER REPORT,60000.00,10/19/2014,2014
Arent Fox LLP,Qualcomm Incorporated,THIRD QUARTER REPORT,80000.00,10/20/2015,2015
Arent Fox LLP,Qualcomm Incorporated,THIRD QUARTER REPORT,80000.00,10/20/2016,2016
Arent Fox LLP,Qualcomm Incorporated,THIRD QUARTER REPORT,80000.00,10/20/2017,2017
Arent Fox LLP,Qualcomm Incorporated,THIRD QUARTER REPORT,80000.00,10/20/2018,2018
