Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Access Partnership LLC,"Salesforce.com, Inc.",FOURTH QUARTER (NO ACTIVITY),,01/16/2019,2018
Access Partnership LLC,"Salesforce.com, Inc.",FOURTH QUARTER (NO ACTIVITY),,01/17/2017,2016
Access Partnership LLC,"Salesforce.com, Inc.",REGISTRATION,,01/19/2016,2015
Access Partnership LLC,"Salesforce.com, Inc.",FOURTH QUARTER REPORT,,01/19/2018,2017
Access Partnership LLC,"Salesforce.com, Inc.",FOURTH QUARTER REPORT,,01/20/2016,2015
Access Partnership LLC,"Salesforce.com, Inc.",FOURTH QUARTER TERMINATION (NO ACTIVITY),,03/06/2019,2018
Access Partnership LLC,"Salesforce.com, Inc.",FIRST QUARTER REPORT,,04/04/2018,2018
Access Partnership LLC,"Salesforce.com, Inc.",FIRST QUARTER (NO ACTIVITY),,04/19/2017,2017
Access Partnership LLC,"Salesforce.com, Inc.",FIRST QUARTER REPORT,10000.00,04/20/2016,2016
Access Partnership LLC,"Salesforce.com, Inc.",SECOND QUARTER (NO ACTIVITY),,07/12/2018,2018
Access Partnership LLC,"Salesforce.com, Inc.",SECOND QUARTER REPORT,,07/20/2016,2016
Access Partnership LLC,"Salesforce.com, Inc.",SECOND QUARTER (NO ACTIVITY),,07/20/2017,2017
Access Partnership LLC,"Salesforce.com, Inc.",THIRD QUARTER (NO ACTIVITY),,10/11/2018,2018
Access Partnership LLC,"Salesforce.com, Inc.",THIRD QUARTER REPORT,,10/12/2017,2017
Access Partnership LLC,"Salesforce.com, Inc.",THIRD QUARTER (NO ACTIVITY),,10/20/2016,2016
"Capitol Tax Partners, LLP",SALESFORCECOM,REGISTRATION,,01/06/2006,2005
"Capitol Tax Partners, LLP",SALESFORCECOM,YEAR-END REPORT,20000.00,01/06/2006,2005
"Capitol Tax Partners, LLP",SALESFORCECOM,MID-YEAR TERMINATION,20000.00,08/21/2006,2006
"Crossroads Strategies, LLC","Salesforce.com, Inc.",FOURTH QUARTER REPORT,30000.00,01/17/2017,2016
"Crossroads Strategies, LLC","Salesforce.com, Inc.",FOURTH QUARTER REPORT,60000.00,01/19/2019,2018
"Crossroads Strategies, LLC","Salesforce.com, Inc.",FOURTH QUARTER REPORT,60000.00,01/20/2018,2017
"Crossroads Strategies, LLC","Salesforce.com, Inc.",FIRST QUARTER REPORT,50000.00,04/19/2017,2017
"Crossroads Strategies, LLC","Salesforce.com, Inc.",FIRST QUARTER REPORT,60000.00,04/20/2018,2018
"Crossroads Strategies, LLC","Salesforce.com, Inc.",FIRST QUARTER REPORT,60000.00,04/21/2019,2019
"Crossroads Strategies, LLC","Salesforce.com, Inc.",SECOND QUARTER REPORT,60000.00,07/19/2018,2018
"Crossroads Strategies, LLC","Salesforce.com, Inc.",SECOND QUARTER REPORT,60000.00,07/20/2017,2017
"Crossroads Strategies, LLC","Salesforce.com, Inc.",REGISTRATION,,09/13/2016,2016
"Crossroads Strategies, LLC","Salesforce.com, Inc.",THIRD QUARTER REPORT,20000.00,10/18/2016,2016
"Crossroads Strategies, LLC","Salesforce.com, Inc.",THIRD QUARTER REPORT,60000.00,10/19/2017,2017
"Crossroads Strategies, LLC","Salesforce.com, Inc.",THIRD QUARTER REPORT,60000.00,10/19/2018,2018
"Franklin Square Group, LLC",Salesforce.com Inc.,FOURTH QUARTER REPORT,30000.00,01/20/2014,2013
"Franklin Square Group, LLC",Salesforce.com Inc.,FOURTH QUARTER REPORT,50000.00,01/20/2016,2015
"Franklin Square Group, LLC",Salesforce.com Inc.,FOURTH QUARTER REPORT,50000.00,01/20/2017,2016
"Franklin Square Group, LLC",Salesforce.com Inc.,FOURTH QUARTER REPORT,50000.00,01/21/2015,2014
"Franklin Square Group, LLC",Salesforce.com Inc.,FOURTH QUARTER REPORT,30000.00,01/22/2013,2012
"Franklin Square Group, LLC",Salesforce.com Inc.,FOURTH QUARTER AMENDMENT,50000.00,01/22/2018,2017
