Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
"38 North Solutions, LLC","Tesla Motors, Inc.",FOURTH QUARTER REPORT,25000.00,01/19/2017,2016
"38 North Solutions, LLC","Tesla Motors, Inc.",FOURTH QUARTER REPORT,5000.00,01/20/2016,2015
"38 North Solutions, LLC","Tesla Motors, Inc.",FIRST QUARTER REPORT,15000.00,04/18/2016,2016
"38 North Solutions, LLC","Tesla Motors, Inc.",FIRST QUARTER REPORT,25000.00,04/21/2017,2017
"38 North Solutions, LLC","Tesla Motors, Inc.",SECOND QUARTER TERMINATION (NO ACTIVITY),,06/01/2017,2017
"38 North Solutions, LLC","Tesla Motors, Inc.",SECOND QUARTER REPORT,15000.00,07/20/2016,2016
"38 North Solutions, LLC","Tesla Motors, Inc.",THIRD QUARTER REPORT,25000.00,10/19/2016,2016
"38 North Solutions, LLC","Tesla Motors, Inc.",REGISTRATION,,10/21/2015,2015
"38 North Solutions, LLC","Tesla Motors, Inc.",THIRD QUARTER REPORT,5000.00,10/22/2015,2015
Cauthen Forbes & Williams,Tesla Motors,YEAR-END TERMINATION,20000.00,02/12/2008,2007
Cauthen Forbes & Williams,Tesla Motors,REGISTRATION,,02/14/2007,2007
Cauthen Forbes & Williams,Tesla Motors,MID-YEAR REPORT,20000.00,08/13/2007,2007
"CHAMBERS, CONLON & HARTWELL, LLC","Tesla Motors, Inc.",FOURTH QUARTER REPORT,10000.00,01/20/2016,2015
"CHAMBERS, CONLON & HARTWELL, LLC","Tesla Motors, Inc.",FOURTH QUARTER REPORT,20000.00,01/20/2017,2016
"CHAMBERS, CONLON & HARTWELL, LLC","Tesla Motors, Inc.",FIRST QUARTER REPORT,20000.00,04/20/2016,2016
"CHAMBERS, CONLON & HARTWELL, LLC","Tesla Motors, Inc.",FIRST QUARTER REPORT,30000.00,04/20/2017,2017
"CHAMBERS, CONLON & HARTWELL, LLC","Tesla Motors, Inc.",SECOND QUARTER REPORT,30000.00,07/19/2017,2017
"CHAMBERS, CONLON & HARTWELL, LLC","Tesla Motors, Inc.",SECOND QUARTER REPORT,20000.00,07/20/2016,2016
"CHAMBERS, CONLON & HARTWELL, LLC","Tesla Motors, Inc.",THIRD QUARTER REPORT,30000.00,10/20/2017,2017
"CHAMBERS, CONLON & HARTWELL, LLC","Tesla Motors, Inc.",THIRD QUARTER REPORT,20000.00,10/22/2016,2016
"CHAMBERS, CONLON & HARTWELL, LLC","Tesla Motors, Inc.",REGISTRATION,,11/13/2015,2015
"CHAMBERS, CONLON & HARTWELL, LLC","Tesla Motors, Inc.",FOURTH QUARTER TERMINATION,10000.00,12/12/2017,2017
"Holland & Knight, LLP","Tesla, Inc.",FOURTH QUARTER REPORT,30000.00,01/08/2019,2018
"Holland & Knight, LLP","Tesla, Inc.",FOURTH QUARTER REPORT,30000.00,01/22/2018,2017
"Holland & Knight, LLP","Tesla, Inc.",FIRST QUARTER REPORT,40000.00,04/16/2018,2018
"Holland & Knight, LLP","Tesla, Inc.",FIRST QUARTER REPORT,20000.00,04/17/2019,2019
"Holland & Knight, LLP","Tesla, Inc.",SECOND QUARTER (NO ACTIVITY),30000.00,07/20/2018,2018
"Holland & Knight, LLP","Tesla, Inc.",THIRD QUARTER (NO ACTIVITY),30000.00,10/22/2018,2018
"Holland & Knight, LLP","Tesla, Inc.",SECOND QUARTER AMENDMENT,30000.00,11/09/2018,2018
"Holland & Knight, LLP","Tesla, Inc.",THIRD QUARTER AMENDMENT,30000.00,11/09/2018,2018
"Holland & Knight, LLP","Tesla, Inc.",REGISTRATION,,12/15/2017,2017
Jeff burton,"Tesla, Inc",FOURTH QUARTER REPORT,15000.00,01/23/2018,2017
Jeff burton,"Tesla, Inc",REGISTRATION,,02/13/2017,2017
Jeff burton,"Tesla, Inc",REGISTRATION AMENDMENT,,02/21/2017,2017
Jeff burton,"Tesla, Inc",FIRST QUARTER REPORT,10000.00,04/18/2017,2017
Jeff burton,"Tesla, Inc",FIRST QUARTER TERMINATION,15000.00,04/25/2018,2018
Jeff burton,"Tesla, Inc",SECOND QUARTER REPORT,15000.00,07/19/2017,2017
Jeff burton,"Tesla, Inc",THIRD QUARTER REPORT,15000.00,10/23/2017,2017
K&L GATES LLP,TESLA MOTORS,FOURTH QUARTER (NO ACTIVITY),,01/18/2011,2010
K&L GATES LLP,TESLA MOTORS,FOURTH QUARTER REPORT,20000.00,01/20/2009,2008
K&L GATES LLP,TESLA MOTORS,FOURTH QUARTER (NO ACTIVITY),,01/20/2010,2009
K&L GATES LLP,TESLA MOTORS,FIRST QUARTER TERMINATION (NO ACTIVITY),,04/19/2011,2011
K&L GATES LLP,TESLA MOTORS,FIRST QUARTER REPORT,30000.00,04/20/2009,2009
