Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Integrated Solutions Group,"Twitter, Inc.",FOURTH QUARTER REPORT,20000.00,01/18/2018,2017
Integrated Solutions Group,"Twitter, Inc.",FOURTH QUARTER REPORT,30000.00,01/18/2019,2018
Integrated Solutions Group,"Twitter, Inc.",FIRST QUARTER REPORT,30000.00,04/17/2018,2018
Integrated Solutions Group,"Twitter, Inc.",FIRST QUARTER REPORT,30000.00,04/19/2019,2019
Integrated Solutions Group,"Twitter, Inc.",SECOND QUARTER REPORT,30000.00,08/20/2018,2018
Integrated Solutions Group,"Twitter, Inc.",THIRD QUARTER REPORT,30000.00,10/12/2018,2018
Integrated Solutions Group,"Twitter, Inc.",REGISTRATION,,11/02/2017,2017
Lauren Culbertson,"Twitter, Inc.",FOURTH QUARTER REPORT,20000.00,01/15/2016,2015
Lauren Culbertson,"Twitter, Inc.",FOURTH QUARTER REPORT,20000.00,01/23/2017,2016
Lauren Culbertson,"Twitter, Inc.",FIRST QUARTER REPORT,20000.00,04/18/2016,2016
Lauren Culbertson,"Twitter, Inc.",FIRST QUARTER REPORT,20000.00,04/19/2017,2017
Lauren Culbertson,"Twitter, Inc.",SECOND QUARTER REPORT,20000.00,07/18/2017,2017
Lauren Culbertson,"Twitter, Inc.",SECOND QUARTER REPORT,20000.00,08/01/2016,2016
Lauren Culbertson,"Twitter, Inc.",REGISTRATION,,09/11/2015,2015
Lauren Culbertson,"Twitter, Inc.",THIRD QUARTER REPORT,20000.00,10/18/2015,2015
Lauren Culbertson,"Twitter, Inc.",THIRD QUARTER REPORT,20000.00,10/20/2016,2016
Lauren Culbertson,"Twitter, Inc.",THIRD QUARTER TERMINATION,10000.00,10/20/2017,2017
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,FOURTH QUARTER REPORT,50000.00,01/19/2017,2016
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,FOURTH QUARTER REPORT,50000.00,01/19/2018,2017
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,FOURTH QUARTER REPORT,30000.00,01/20/2016,2015
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,FOURTH QUARTER REPORT,50000.00,01/22/2019,2018
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,FIRST QUARTER REPORT,60000.00,04/18/2019,2019
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,FIRST QUARTER REPORT,50000.00,04/19/2016,2016
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,FIRST QUARTER REPORT,50000.00,04/19/2018,2018
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,FIRST QUARTER AMENDMENT,30000.00,04/20/2016,2016
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,FIRST QUARTER REPORT,50000.00,04/20/2017,2017
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,SECOND QUARTER REPORT,50000.00,07/17/2017,2017
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,SECOND QUARTER REPORT,50000.00,07/20/2016,2016
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,SECOND QUARTER REPORT,50000.00,07/20/2018,2018
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,REGISTRATION,,09/11/2015,2015
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,REGISTRATION AMENDMENT,,09/12/2015,2015
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,THIRD QUARTER REPORT,50000.00,10/19/2018,2018
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,THIRD QUARTER REPORT,30000.00,10/20/2015,2015
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,THIRD QUARTER REPORT,50000.00,10/20/2016,2016
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",TWITTER INC,THIRD QUARTER REPORT,50000.00,10/20/2017,2017
"THE JOSEPH GROUP, LLC","Twitter, Inc.",FOURTH QUARTER REPORT,30000.00,01/11/2019,2018
"THE JOSEPH GROUP, LLC","Twitter, Inc.",FOURTH QUARTER REPORT,30000.00,01/19/2016,2015
"THE JOSEPH GROUP, LLC","Twitter, Inc.",FOURTH QUARTER REPORT,30000.00,01/19/2017,2016
"THE JOSEPH GROUP, LLC","Twitter, Inc.",FOURTH QUARTER REPORT,30000.00,01/19/2018,2017
"THE JOSEPH GROUP, LLC","Twitter, Inc.",FIRST QUARTER REPORT,30000.00,04/17/2016,2016
"THE JOSEPH GROUP, LLC","Twitter, Inc.",FIRST QUARTER REPORT,30000.00,04/17/2017,2017
"THE JOSEPH GROUP, LLC","Twitter, Inc.",FIRST QUARTER REPORT,30000.00,04/18/2019,2019
"THE JOSEPH GROUP, LLC","Twitter, Inc.",FIRST QUARTER REPORT,30000.00,04/19/2018,2018
"THE JOSEPH GROUP, LLC","Twitter, Inc.",SECOND QUARTER REPORT,30000.00,07/18/2017,2017
"THE JOSEPH GROUP, LLC","Twitter, Inc.",SECOND QUARTER REPORT,30000.00,07/19/2016,2016
"THE JOSEPH GROUP, LLC","Twitter, Inc.",SECOND QUARTER REPORT,30000.00,07/20/2018,2018
"THE JOSEPH GROUP, LLC","Twitter, Inc.",REGISTRATION,,09/11/2015,2015
"THE JOSEPH GROUP, LLC","Twitter, Inc.",THIRD QUARTER REPORT,30000.00,10/10/2017,2017
"THE JOSEPH GROUP, LLC","Twitter, Inc.",THIRD QUARTER REPORT,30000.00,10/18/2016,2016
"THE JOSEPH GROUP, LLC","Twitter, Inc.",THIRD QUARTER REPORT,30000.00,10/19/2018,2018
"THE JOSEPH GROUP, LLC","Twitter, Inc.",THIRD QUARTER REPORT,20000.00,10/20/2015,2015
"Twitter, Inc.",Twitter Inc.,FOURTH QUARTER REPORT,50000.00,01/20/2014,2013
"Twitter, Inc.",Twitter Inc.,FOURTH QUARTER REPORT,80000.00,01/20/2015,2014
"Twitter, Inc.",Twitter Inc.,FOURTH QUARTER REPORT,170000.00,01/20/2016,2015
"Twitter, Inc.",Twitter Inc.,FOURTH QUARTER REPORT,140000.00,01/22/2018,2017
"Twitter, Inc.",Twitter Inc.,FOURTH QUARTER REPORT,320000.00,01/22/2019,2018
"Twitter, Inc.",Twitter Inc.,FOURTH QUARTER REPORT,170000.00,01/23/2017,2016
"Twitter, Inc.",Twitter Inc.,FIRST QUARTER REPORT,50000.00,04/17/2014,2014
"Twitter, Inc.",Twitter Inc.,FIRST QUARTER REPORT,90000.00,04/20/2015,2015
"Twitter, Inc.",Twitter Inc.,FIRST QUARTER REPORT,170000.00,04/20/2016,2016
"Twitter, Inc.",Twitter Inc.,FIRST QUARTER REPORT,170000.00,04/20/2017,2017
"Twitter, Inc.",Twitter Inc.,FIRST QUARTER REPORT,150000.00,04/20/2018,2018
"Twitter, Inc.",Twitter Inc.,FIRST QUARTER REPORT,420000.00,04/22/2019,2019
"Twitter, Inc.",Twitter Inc.,SECOND QUARTER REPORT,70000.00,07/17/2015,2015
"Twitter, Inc.",Twitter Inc.,SECOND QUARTER REPORT,90000.00,07/20/2014,2014
"Twitter, Inc.",Twitter Inc.,SECOND QUARTER REPORT,170000.00,07/20/2016,2016
