Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Clark & Weinstock,YAHOO! INC,FOURTH QUARTER REPORT,90000.00,01/09/2009,2008
Clark & Weinstock,YAHOO! INC,YEAR-END REPORT,180000.00,01/24/2008,2007
Clark & Weinstock,YAHOO! INC,REGISTRATION,,02/23/2007,2007
Clark & Weinstock,YAHOO! INC,FIRST QUARTER TERMINATION,10000.00,04/06/2009,2009
Clark & Weinstock,YAHOO! INC,FIRST QUARTER REPORT,90000.00,04/09/2008,2008
Clark & Weinstock,YAHOO! INC,SECOND QUARTER REPORT,90000.00,07/09/2008,2008
Clark & Weinstock,YAHOO! INC,MID-YEAR REPORT,160000.00,08/09/2007,2007
Clark & Weinstock,YAHOO! INC,THIRD QUARTER REPORT,90000.00,10/07/2008,2008
Covington & Burling LLP,Yahoo! Inc.,YEAR-END REPORT,,02/07/2007,2006
Covington & Burling LLP,Yahoo! Inc.,YEAR-END REPORT,500000.00,02/14/2008,2007
Covington & Burling LLP,Yahoo! Inc.,FIRST QUARTER REPORT,40000.00,04/21/2008,2008
Covington & Burling LLP,Yahoo! Inc.,SECOND QUARTER TERMINATION,,07/08/2008,2008
Covington & Burling LLP,Yahoo! Inc.,MID-YEAR REPORT,,08/10/2007,2007
Covington & Burling LLP,Yahoo! Inc.,MID-YEAR REPORT,200000.00,08/14/2006,2006
Covington & Burling LLP,Yahoo! Inc.,REGISTRATION AMENDMENT,,08/18/2006,2006
Covington & Burling LLP,Yahoo! Inc.,YEAR-END AMENDMENT,40000.00,08/18/2006,2005
Covington & Burling LLP,Yahoo! Inc.,REGISTRATION,,08/21/2006,2006
"Fierce, Isakowitz & Blalock",YAHOO,YEAR-END TERMINATION,120000.00,02/24/2005,2004
"Fierce, Isakowitz & Blalock",YAHOO,REGISTRATION,,03/31/2003,2003
"Fierce, Isakowitz & Blalock",YAHOO,YEAR-END REPORT,80000.00,04/13/2004,2003
"Fierce, Isakowitz & Blalock",YAHOO,MID-YEAR REPORT,60000.00,08/21/2003,2003
"Fierce, Isakowitz & Blalock",YAHOO,MID-YEAR REPORT,80000.00,08/25/2004,2004
"Fierce, Isakowitz & Blalock",YAHOO,MID-YEAR AMENDMENT,,09/12/2005,2004
"Fierce, Isakowitz & Blalock",YAHOO,MID-YEAR AMENDMENT,,09/12/2005,2003
"Fierce, Isakowitz & Blalock",YAHOO,YEAR-END TERMINATION,80000.00,09/12/2005,2004
"Kountoupes Denham Carr & Reid, LLC",OATH INC (FORMERLY KNOWN AS YAHOO),FOURTH QUARTER REPORT,50000.00,01/13/2009,2008
