cycle,orgid,orgname,total,indivs,pacs,soft,tot527,dems,repubs,lobbying,ouside,mems_invested,gave_to_pac,gave_to_party,gave_to_527,gave_to_cand,source
2018,D000033563,Facebook Inc,2168178,1217424,708000,219652,23102,1465092,467729,12620000,0,21,0,230917,23102,1546829,www.opensecrets.org/orgs/summary.php?id=D000033563
2018,D000023883,Amazon.com,13536034,1547399,1731000,10248217,9418,2226635,1047442,14400000,0,18,100,467137,9418,2397807,www.opensecrets.org/orgs/summary.php?id=D000023883
2018,D000021754,Apple Inc,1677466,1559370,0,42895,75201,1520330,53948,6620000,0,61,60,157672,75201,1387408,www.opensecrets.org/orgs/summary.php?id=D000021754
2018,D000036161,Netflix Inc,1456840,398170,0,1053895,4775,396415,1600,800000,0,8,0,51981,4775,333928,www.opensecrets.org/orgs/summary.php?id=D000036161
2014,D000022008,Google Inc,3902609,1351394,1550926,981470,18819,1829963,1071107,16830000,0,25,0,730444,11219,1706376,www.opensecrets.org/orgs/summary.php?id=D000022008
2018,D000045455,Google.org,1000,1000,0,0,0,1000,0,0,0,0,0,100,0,900,www.opensecrets.org/orgs/summary.php?id=D000045455
2018,D000000374,Cisco Systems,1455118,980012,377500,89585,8021,951048,407377,2680000,0,29,250,362158,8021,909217,www.opensecrets.org/orgs/summary.php?id=D000000374
2014,D000000558,Dell EMC,259939,141779,110000,6250,1910,179829,69450,2330000,0,0,0,39879,1910,198900,www.opensecrets.org/orgs/summary.php?id=D000000558
2018,D000000585,Dell Technologies,1927185,998079,915200,9074,4832,879898,1025017,4790000,0,1,0,619646,4832,1142958,www.opensecrets.org/orgs/summary.php?id=D000000585
2018,D000021970,eBay Inc,256728,101878,108900,15950,30000,144079,66212,1650000,0,3,0,30209,30000,157577,www.opensecrets.org/orgs/summary.php?id=D000021970
2018,D000067800,Hewlett Packard Enterprise,580179,95529,483200,800,650,311372,267131,3935000,0,1,0,20651,650,350508,www.opensecrets.org/orgs/summary.php?id=D000067800
2018,D000000716,Hewlett-Packard,196867,180232,0,13335,3300,154777,27480,0,0,1,0,73761,3300,108740,www.opensecrets.org/orgs/summary.php?id=D000000716
2016,D000052008,IBM Business Consulting Services,260,260,0,0,0,0,260,0,0,0,0,260,0,0,www.opensecrets.org/orgs/summary.php?id=D000052008
2018,D000000720,IBM Corp,814872,791985,0,15294,7593,664855,112013,4800000,0,26,45,253619,7593,529578,www.opensecrets.org/orgs/summary.php?id=D000000720
2018,D000000804,Intel Corp,1801211,615570,1123950,59526,2165,1032769,697980,4020000,0,36,450,311928,2165,1219578,www.opensecrets.org/orgs/summary.php?id=D000000804
2016,D000067159,LinkedIn Corp,1379640,1138225,0,240775,640,1129518,3066,200000,0,6,0,811386,640,323988,www.opensecrets.org/orgs/summary.php?id=D000067159
2018,D000000115,Microsoft Corp,14005817,3664600,1442250,8243956,655011,4014575,1060950,9590000,0,53,115,1263749,652311,3180559,www.opensecrets.org/orgs/summary.php?id=D000000115
2018,D000000422,Oracle Corp,1606078,1257092,322435,11678,14873,787993,778008,7690000,0,13,150,551649,14873,928498,www.opensecrets.org/orgs/summary.php?id=D000000422
2018,D000037335,Salesforce.Com,628044,519598,89999,11020,7427,552515,62105,2100000,0,5,550,147153,7427,418134,www.opensecrets.org/orgs/summary.php?id=D000037335
2018,D000057516,Tesla Motors,179234,155503,21231,1500,1000,157224,20300,890000,0,3,0,42795,1000,128837,www.opensecrets.org/orgs/summary.php?id=D000057516
2018,D000067113,Twitter,288284,269558,10700,250,7776,278211,9150,1100000,0,5,0,18997,7776,256116,www.opensecrets.org/orgs/summary.php?id=D000067113
2018,D000000794,Qualcomm Inc,5465068,454213,177200,4832045,1610,326985,296936,8010000,0,19,100,231584,1610,371421,www.opensecrets.org/orgs/summary.php?id=D000000794
2016,D000022330,Yahoo! Inc,704991,328596,196600,178045,1750,392466,130205,2450000,0,8,0,160424,250,358135,www.opensecrets.org/orgs/summary.php?id=D000022330
